,NOISE_FREE_GENE_INDICES,CLUSTER_NO,Distance_FROM_CLUSTER_CENTROID
0,0,8,1.173841568566151
1,1,8,1.0020709404704953
2,2,5,1.4584407365470435
3,3,26,2.2471758210721755
4,4,1,1.5751978933919317
5,5,1,1.6514358572922028
6,6,16,1.6369639239897926
7,7,6,1.726834077627227
8,8,6,2.5108649101569624
9,9,14,0.389408470420686
10,10,14,0.389408470420686
11,11,12,2.154158020859096
12,12,1,1.581336142842572
13,13,5,1.4858129874241646
14,14,5,1.6367557919752378
15,15,1,2.060926556211915
16,16,26,1.7059340903744313
17,17,26,1.847844809250799
18,18,6,1.3532600835083228
19,19,26,1.7503169405685486
20,20,6,1.1595387405904745
21,21,6,1.235481433859614
22,22,6,1.9379219508005499
23,23,6,2.062216595423945
24,24,5,2.211286473881096
25,25,5,2.2801439348595056
26,26,0,1.4447745377432437
27,27,0,1.59000016730668
28,28,26,1.5752074017140407
29,29,2,1.6016398805117609
30,30,5,1.900758073517752
31,31,5,1.8915655455343872
32,32,16,1.6532237060835973
33,33,16,1.8964986510896085
34,34,12,2.2320045443593344
35,35,2,1.5297655883671437
36,36,2,1.6982480540361173
37,37,0,1.8103412666630792
38,38,0,1.4506281224016353
39,39,0,1.3954538042796676
40,40,6,1.5642006077686281
41,41,5,1.7777573816406373
42,42,5,1.883222900672948
43,43,0,1.3017539947192982
44,44,0,1.5568729258140137
45,45,12,1.964517422428779
46,46,6,1.8781277840150308
47,47,6,1.7404544854357282
48,48,6,1.769810972743767
49,49,26,1.8455355423537587
50,50,26,2.0142235418752534
51,51,5,2.0396033112515743
52,52,2,1.30234321578982
53,53,0,1.6368567259188593
54,54,16,1.7047665000574797
55,55,1,1.7665400364861685
56,56,1,1.6199014348912175
57,57,1,1.7161664784131152
58,58,12,1.5770188187956917
59,59,26,1.828606586468504
60,60,6,2.0029635989424106
61,61,1,1.3259921714288576
62,62,0,1.8669706163271096
63,63,1,1.6571081176573081
64,64,1,1.7851208896765318
65,65,1,1.8635494470172633
66,66,1,1.5380188963867767
67,67,1,1.430202841557812
68,68,12,1.6433880967056975
69,69,26,1.2790088123573469
70,70,26,1.3517217827371348
71,71,1,1.5234762755447355
72,72,16,1.8146120256686866
73,73,2,1.3906581850459439
74,74,2,1.515027228770685
75,75,18,2.2272507253645806
76,76,6,2.4556984275448808
77,77,6,2.5069003600040394
78,78,2,2.377845651124837
79,79,2,2.464819284143435
80,80,12,1.1210742971833592
81,81,5,1.4800713942501336
82,82,0,1.3630977599329563
83,83,0,2.517089468786828
84,84,4,2.5724356487195914
85,85,26,2.330560948922785
86,86,26,2.3447360476087997
87,87,5,1.818587267576318
88,88,4,1.4062973498635976
89,89,6,1.3487644077254934
90,90,2,1.7272745507787408
91,91,12,1.4056502158052677
92,92,5,1.4823727565638483
93,93,0,2.31331243667531
94,94,26,1.6135559672468296
95,95,0,1.4311435405978676
96,96,0,1.6289270462873797
97,97,5,2.512118488379574
98,98,5,2.4749483324062327
99,99,12,1.5127590316203
100,100,16,3.252351465973591
101,101,12,1.5357931527575739
102,102,2,1.497579769553065
103,103,6,1.6833089331219635
104,104,2,1.1463031021698722
105,105,26,1.737299968973595
106,106,26,1.694130965093555
107,107,2,1.622329690191654
108,108,12,1.7502904202117553
109,109,7,1.6596257047798224
110,110,2,2.42347691235467
111,111,2,2.468093231794584
112,112,6,1.8198895429607684
113,113,6,2.023885567633529
114,114,4,3.295662130224128
115,115,26,1.7125223789792208
116,116,26,1.609139646281241
117,117,12,2.0165273548984937
118,118,12,1.955418651826062
119,119,2,1.9082574305855005
120,120,12,1.4143756512936076
121,121,12,1.3518171328595163
122,122,6,1.4919823578510762
123,123,16,1.2277331622712555
124,124,12,1.7759113523140229
125,125,5,2.517479933384026
126,126,5,2.6171038712446055
127,127,3,2.503956972168161
128,128,5,1.5984845134395391
129,129,16,1.5038913715706217
130,130,6,1.4818867171815284
131,131,6,1.5340386618661876
132,132,2,2.6513543588160338
133,133,0,1.403648933794228
134,134,0,1.580286391941647
135,135,2,1.8765888787527993
136,136,2,1.864664220528171
137,137,7,1.4974473549251381
138,138,16,1.733466638691926
139,139,12,1.537269683954143
140,140,16,1.6855394726856079
141,141,0,1.518336416084758
142,142,0,1.4547868788719942
143,143,26,1.5898018343801004
144,144,5,1.3237786320628557
145,145,0,1.9968026228866043
146,146,0,1.9905400282778092
147,147,15,0.5199213253837663
148,148,15,0.5199213253837663
149,149,1,1.795931611368565
150,150,5,1.5210580284034818
