,NOISE_FREE_GENE_INDICES,CLUSTER_NO,Distance_FROM_CLUSTER_CENTROID
0,0,4,0.9171518641619477
1,1,1,1.9445714160246252
2,2,4,0.7188822817309517
3,3,4,0.5977366961886387
4,4,4,0.6446546707608056
5,5,3,1.443089975448002
6,6,4,1.2070989052919867
7,7,4,0.8438141219774211
8,8,0,1.764999334167271
9,9,0,0.5967784300451998
10,10,4,0.9947535634690419
11,11,0,0.9232254907145321
12,12,2,0.933652296697092
13,13,4,0.9194858469075442
14,14,0,0.496505158372992
15,15,4,0.6224960584341217
16,16,4,0.5984540909538325
17,17,4,1.2643965918653832
18,18,4,1.0385560238504308
19,19,4,0.5880236187723731
20,20,0,1.0670950887101311
21,21,4,0.9465952935651313
22,22,4,1.1581596360670756
23,23,2,1.6210518360292019
24,24,3,4.489188288991198
25,25,4,0.890216667825269
26,26,0,0.7651432548724396
27,27,4,0.6997142404648206
28,28,4,0.7761107716469798
29,29,1,1.0887039965737138
30,30,1,0.7112312894980635
31,31,0,0.9481120644052018
32,32,4,0.6245077966044127
33,33,0,0.8093833443202936
34,34,0,0.8761318394085962
35,35,0,0.6428205840963126
36,36,0,0.916386265786812
37,37,4,0.621066026099328
38,38,4,1.4690961384697574
39,39,4,1.0532347109508342
40,40,1,0.9364529274549075
41,41,1,0.79738224519632
42,42,0,0.7253289662003183
43,43,4,1.1968891755964088
44,44,1,1.293164703177846
45,45,0,0.7480691080260231
46,46,4,1.423272908073684
47,47,4,1.2856980850903283
48,48,1,0.9596547929622211
49,49,0,0.6249888878590484
50,50,4,0.679192000622135
51,51,4,0.8667963640286099
52,52,0,0.8847023082517205
53,53,0,0.8334721602712756
54,54,1,1.6600544475241388
55,55,2,1.3339738928795783
56,56,0,0.7035651712609481
57,57,4,1.6662213333208522
58,58,0,0.9782888144777525
59,59,4,0.833143250618771
60,60,0,1.1242919788242869
61,61,0,0.7790892682292601
62,62,4,0.8712332870149455
63,63,4,1.6438782545257726
64,64,4,1.5906593703356402
65,65,0,0.974239071582347
66,66,4,0.9944250083057082
67,67,4,0.7349104253788341
68,68,2,1.1993863422333286
69,69,3,1.407161210279317
70,70,3,1.216178043084345
71,71,1,2.322024051037946
72,72,0,0.9838171702191698
73,73,0,0.8955443779237837
74,74,0,0.7296098611027676
75,75,0,0.9127910277824004
76,76,3,1.9386725677777974
77,77,3,3.5898076776987162
78,78,4,1.0202659803934218
79,79,4,0.8777029328870439
80,80,1,1.4471027200832332
81,81,4,0.8202476420633064
82,82,1,1.3208283536526566
83,83,0,0.5981132052740641
84,84,0,0.5357477479038333
85,85,1,1.3332747842781045
86,86,4,0.6020657953587253
87,87,3,2.1273725214419104
88,88,4,0.7673840212060017
89,89,0,1.7945859859139748
90,90,4,1.321090368040123
91,91,0,0.555996556798558
92,92,0,0.8661070899643647
93,93,1,2.0535537237538724
94,94,4,1.1018202904182361
95,95,4,0.5345188216726492
96,96,4,0.8608840059983925
97,97,1,1.127003334678756
98,98,0,0.48619982964543185
99,99,4,0.6116159019373838
100,100,0,0.6526355958343991
101,101,1,0.46467102334228927
102,102,0,0.8071646059528704
103,103,4,0.7334730221927784
104,104,2,0.7723054855236968
105,105,4,0.9731414826991367
106,106,4,0.6810663721900854
107,107,1,0.851781454900273
108,108,1,0.8727279987029692
109,109,2,0.8926605081249046
110,110,0,0.7092453307352652
111,111,4,1.1275733590486547
112,112,0,0.5472268548726115
113,113,4,1.2421668704423299
114,114,0,0.626991508399417
115,115,0,0.728649706509222
116,116,1,0.7386132114380513
117,117,1,0.8615739761024596
118,118,4,0.4397734392381681
119,119,0,0.8127772180102387
120,120,4,1.5408252481622922
121,121,0,0.8769061228513255
122,122,1,0.9780545838323776
123,123,4,0.9410657075833105
124,124,4,2.4138127294416525
125,125,0,1.0865010494148202
126,126,0,0.8630223813555393
127,127,0,0.8033692589548889
128,128,0,0.8984815529098915
129,129,3,1.2997329098171755
130,130,3,2.042638835954218
131,131,0,0.6186768818169618
132,132,4,0.6570658226640521
133,133,0,1.6058176859356545
134,134,0,0.6697701480686518
135,135,4,0.8429500179502282
136,136,0,0.9780089380754335
137,137,0,1.2246996967338266
138,138,1,1.1081471672766945
139,139,1,1.2763466380029376
140,140,0,1.1895893287710235
141,141,0,0.9016692811063286
142,142,4,0.6461963026915235
143,143,0,1.0941434077461327
144,144,4,0.8687927990639573
145,145,0,0.5466331715167202
146,146,4,0.7709428978571249
147,147,4,0.6653946773625778
148,148,1,0.8039016554762821
149,149,4,0.8473862696360567
150,150,0,0.9423918911215916
151,151,4,0.6171799897141085
152,152,0,0.6887048313462267
153,153,1,0.8859174384072066
154,154,4,0.7322255093085596
155,155,4,0.8897193843839584
156,156,4,0.7774649816452817
157,157,0,0.5564095655772918
158,158,0,0.8594739105238508
159,159,0,0.872521112313953
160,160,1,1.333816379345924
161,161,0,0.5497491949035436
162,162,4,1.4363793374597755
163,163,0,0.643371361159497
164,164,3,2.6427703284114212
165,165,0,0.9665170469749047
166,166,0,0.7943838594242583
167,167,0,0.8998955316736735
168,168,0,0.8653555141729471
169,169,4,0.7663272411999072
170,170,1,1.694192810611783
171,171,1,1.3377667754027531
172,172,2,1.239216637230941
173,173,1,0.7346874844512081
174,174,4,0.709108863748998
175,175,4,0.697051702667844
176,176,0,0.8764122658472745
177,177,3,2.8711430940284237
178,178,0,0.9051018080655607
179,179,1,1.462343164155768
180,180,0,0.7096180573020049
181,181,1,2.435994914339321
182,182,4,0.7327537212430473
183,183,0,1.0111834671650062
184,184,2,1.294302934402406
185,185,0,0.6552561796876833
186,186,1,0.6518931023883718
187,187,0,0.8390937622021293
188,188,1,2.3632660016154663
189,189,0,0.504498016807326
190,190,0,0.927297307498652
191,191,0,0.555197232546132
192,192,3,1.716060267564974
193,193,0,0.8248330046474899
194,194,0,0.7671342095850312
195,195,4,0.8326235113988055
196,196,2,0.9809329995607027
197,197,0,0.6321361346790413
198,198,4,0.6540744732195599
199,199,0,0.8882642750259675
200,200,0,1.4902015718085335
201,201,2,1.130804561989468
202,202,0,1.4733808593379656
203,203,4,0.6366382827898265
204,204,0,0.6693674010677455
205,205,4,0.836429376219235
206,206,0,0.6466851416348757
207,207,1,1.1969952849426657
208,208,4,0.8111850592243989
209,209,0,0.9235317412088859
210,210,0,1.4094186879499517
211,211,0,0.8994099363657101
212,212,0,1.092735596205986
213,213,0,0.8319154606038905
214,214,0,0.5293885036947695
215,215,0,0.5917852911939236
216,216,4,1.783079965363837
217,217,1,0.8428356842933972
218,218,1,1.0827722469853562
219,219,0,0.703907705135558
220,220,1,1.501105308776086
221,221,0,0.9799522919154776
222,222,0,0.815718024838594
223,223,0,1.0641829773300175
224,224,0,0.6340474292396914
225,225,4,1.1082808205646342
226,226,4,1.007004678781776
227,227,0,0.8303966048762056
228,228,0,0.9746864529480938
229,229,0,0.9142234140737123
230,230,2,2.20113403984789
231,231,0,0.7901903718348443
232,232,4,0.6690934591433346
233,233,4,0.6166479180671696
234,234,2,1.6676171964178932
235,235,4,0.7354249432300863
236,236,0,0.6596417373868062
