,0
448,HST1
449,DBP2
450,ACO1
451,BDF2
452,CDC37
453,ECM33
454,MET17
455,STO1
456,ANP1
457,RTS1
458,MCR1
459,YMR010W
460,ZWF1
461,THI7
462,APL4
463,YGR210C
464,THS1
465,NTH2
466,STE20
467,SSH1
468,YCR023C
469,ASH1
470,YGR149W
471,TAT1
472,LHS1
473,TOM40
474,RPN1
475,VMA2
476,KIN1
477,RPA49
478,EPT1
479,OST3
480,DBP6
481,TRR1
482,PCM1
483,ALG8
484,CSG2
485,APE2
486,FLC2
487,TOM71
488,MDJ1
489,ADE17
490,RPN7
491,EFR3
492,PSR2
493,IFA38
494,MIG2
495,DIP2
496,SAM2
497,CCC1
498,POR1
499,TIF35
500,YIP1
501,PRO3
502,RPL2A
503,NRM1
504,DPP1
505,MGM101
506,RIB5
507,MOG1
508,MGE1
509,PNC1
510,PAA1
511,RPL23B
512,PFY1
513,FYV4
514,YMR31
515,SPG3
516,RPS20
517,HTB1
518,LCB4
519,SIN3
520,ASI1
521,RCK2
522,CBF5
523,SSA2
524,UBI4
525,IMD2
526,HTB2
527,YOR309C
528,YDL096C
529,YLR198C
530,RPL34B
531,YLR294C
532,YPR076W
533,CLU1
534,ERG24
535,NSP1
536,CLN2
537,VCX1
538,ARO4
539,ARC35
540,ERG11
541,FUS3
542,RSP5
543,ALG7
544,DBP10
545,KAR2
546,RNR1
547,MNN9
548,CIC1
549,GVP36
550,LOA1
551,MRP51
552,PFK27
553,LCB2
554,ARX1
555,PRE10
556,HXT2
557,HSC82
558,GSH2
559,RPN2
560,RPG1
561,SUI2
562,SHM2
563,YJR015W
564,HSP60
565,CHA1
566,ALG6
567,ADH5
568,HMG2
569,CHO2
570,AFG1
571,MRI1
572,ERV29
573,RAS2
574,HSP150
575,YMR226C
576,NSA2
577,KRE9
578,YDL086W
579,PUN1
580,VMA16
581,ATP5
582,GAR1
583,TVP23
584,RCF2
585,MLC1
586,RPL24A
587,TMA19
588,TOA2
589,UTH1
590,CPR6
591,PGK1
592,NOP56
593,PRY2
594,SAM1
595,YGR160W
596,RPS4A
597,RPL1B
598,HHF1
599,RPP2A
600,YBL100C
601,YPR044C
602,YPL142C
603,URA1
604,SHE10
605,SAC6
606,SFB3
607,VTI1
608,VMA13
609,GAS1
610,APE4
611,GSF2
612,PPH22
613,CPS1
614,APE3
615,ILV5
616,BCH1
617,QNS1
618,PUB1
619,CLG1
620,RNA1
621,SSO2
622,PKH1
623,RPN8
624,APA1
625,SHB17
626,PRE7
627,CHO1
628,YGR026W
629,YNL190W
630,CIS3
631,RPL9A
632,URA5
633,UBC7
634,RPL11B
635,TIF11
636,CKS1
637,YJR085C
638,YGR182C
639,RPS10B
640,GRX1
641,RPS6A
642,RPS6B
643,RPS8B
644,RPL15A
645,YOR277C
646,YOR248W
647,YOL106W
648,UBP15
649,IZH2
650,PDR17
651,SUR1
652,NOP53
653,SOF1
654,KRS1
655,NFS1
656,GGA2
657,OPT1
658,VBA1
659,YPL260W
660,RRD1
661,SEY1
662,ERG13
663,TEL2
664,MNN5
665,HIS4
666,FTR1
667,TCP1
668,ADE3
669,RIM101
670,FRD1
671,ALD5
672,GLE2
673,MIA40
674,LEU9
675,THR1
676,ARP3
677,SDS24
678,YPF1
679,NUS1
680,PMT3
681,HOM2
682,TIM50
683,GCN20
684,TUB1
685,TDA7
686,HRB1
687,ACS2
688,MSN2
689,SLG1
690,KTR1
691,PPA2
692,GET2
693,SEC13
694,MIR1
695,RPB5
696,GPP2
697,RPS12
698,TIM17
699,EGD1
700,GPX2
701,ATP20
702,TIM11
703,LHP1
704,YGL052W
705,GPM1
706,YEL074W
707,YEL076W-C
708,RPS7B
709,YDR433W
710,n2
711,YKL083W
712,YKL153W
713,YHR213W
714,YCL068C
715,YPR136C
716,YFL068W
717,DLD3
718,BAT2
719,PTC3
720,SAM3
721,ATP1
722,NOP1
723,BAP3
724,LYS12
725,PAB1
726,MAL33
727,YDJ1
728,RPN6
729,HEM1
730,FUN12
731,ZUO1
732,RNR4
733,ERG10
734,SAT4
735,SQT1
736,DFG5
737,RSM23
738,GRH1
739,CSE1
740,GLN1
741,HST2
742,ACO2
743,IPP1
744,VRG4
745,FTH1
746,KGD2
747,IDI1
748,RPL5
749,BXI1
750,YMR099C
751,GLO2
752,TAF14
753,GSP2
754,STE14
755,YRA1
756,ADK1
757,ORM2
758,EMP24
759,CNB1
760,GCV3
761,SDH3
762,TMC1
763,RPS15
764,OM14
765,HTZ1
766,SPC1
767,OST5
768,RPL24B
769,RPS19B
770,OST2
771,RPS17A
772,YJL075C
773,NCB2
774,RPS18B
775,HTA2
776,YPR002C-A
777,YER138W-A
778,RPS30B
779,RPL41B
780,RPS21B
781,GAT1
782,MCA1
783,HTS1
784,TIF34
785,BRX1
786,VOA1
787,RPL20A
788,SGT2
789,KGD1
790,FCY21
791,SBP1
792,SWP1
793,BLM10
794,VPS68
795,RPS7A
796,MRPL33
797,DIF1
798,p1
799,Lambda Control
800,Phi174 Control
801,n2
802,p2
803,YER066C-A
804,p2
805,n2
806,n2
807,MAK10
808,GAL7
809,YLR111W
810,YBL108W
811,p2
812,HXT10
813,RGI2
814,YOR235W
815,blank
816,YNR068C
817,YGR291C
818,p2
819,Yeast Control
820,YDL094C
821,Human Control
822,YOR300W
823,Lambda Control
824,Phi174 Control
825,YLR012C
826,blank
827,n1
828,GRX6
829,blank
830,n1
831,blank
832,YCR064C
833,YPL102C
834,SEO1
835,Human Control
836,DAL80
837,p2
838,Lambda Control
