0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Fake
0.196979,-0.0624336,0.00171221,-0.277946,0.238743,0.05786,-0.015716,0.560121,-0.021822,-0.113997,0.12392,-0.226155,-0.856602,-0.90224,-1.20709,-0.288181,-0.329565,0.609776,-0.139628,-0.139413,0.426279,-0.586056,-0.0952702,0.719843,-0.23421,0.469448,-0.106786,0.0597913,-0.0705718,0.437376,0
-0.38934,0.0734895,0.47969,-1.17207,0.305478,-0.0669017,-0.65572,0.164382,0.369643,-0.800402,0.106832,0.220929,0.015076,-0.371809,-0.714714,0.117804,-0.113929,1.00679,0.498861,0.535627,0.6613,-0.0961698,0.238655,1.10636,-0.33931,0.553658,-0.28238,0.28387,0.304445,0.86421,0
-0.0314669,-0.213673,-0.0590185,-0.342934,0.0316803,0.0422755,-0.11116,0.299358,0.210424,0.160574,0.0424787,0.0358703,-0.204032,-0.10813,-0.638646,-0.13532,-0.795236,0.439553,0.059207,-0.435737,0.240379,-0.79906,0.0688209,0.608792,-0.894855,0.324396,0.0951965,0.105043,-0.108563,0.699371,0
0.168219,0.199347,0.319753,0.325312,0.369698,0.281026,0.527253,0.311711,0.18765,0.240772,0.289576,0.181621,0.0554306,-0.0129343,-0.337793,0.0978831,-0.538754,0.865674,-0.0407504,-0.0504437,-0.0058846,-0.54162,0.171321,0.481167,-0.578477,0.30889,0.156245,0.14341,0.46167,0.952103,0
0.0150412,0.0742298,-0.0312615,0.0222918,0.24015,0.327242,0.0897597,0.566132,0.0784487,0.229069,0.0987895,-1.9132e-05,-0.730075,-0.605814,-1.19477,0.0608689,-0.223518,0.755393,0.156103,-0.366494,0.43316,-0.552895,-0.0920049,0.873292,-0.577595,-0.0451304,0.23563,0.0360867,-0.422669,0.681777,0
-0.121582,0.195271,0.237891,0.438772,0.792997,0.356208,0.387675,0.418289,0.490468,0.249412,0.555297,0.345106,-0.222601,-0.267179,-0.315914,0.257466,-0.55806,0.684543,0.659172,0.38458,0.592908,0.117563,0.182243,0.695798,0.17953,0.217627,0.553625,0.106751,0.399531,0.544231,0
-0.272879,-0.205304,-0.420143,-0.749085,-0.202365,-0.307931,-0.45258,0.149828,-0.286815,-0.319983,-0.0813038,-0.213425,-0.123978,-0.132525,-0.471673,-0.241621,-0.419655,0.293425,-0.334927,-0.340032,-0.0714238,-0.410598,-0.079259,0.475579,-0.284415,0.153626,0.14424,0.0364772,0.531059,0.468969,0
0.0837884,-0.0358047,-0.240246,-0.0932581,0.455673,-0.183108,0.240548,0.477031,-0.309062,-0.127676,0.447877,-0.214216,-0.959595,-1.29061,-1.00742,0.992765,0.858388,1.63558,1.99677,1.67787,2.24401,1.75933,1.81225,2.81651,2.02129,2.24004,2.16811,1.07187,1.33791,2.06051,0
0.524555,0.349654,0.106483,-0.0753155,0.835069,-0.0376263,0.973182,0.693776,0.0788964,0.940236,0.441606,0.370659,0.444549,0.280313,-0.391918,0.25999,-0.372849,-0.149348,1.02525,0.162591,0.0287804,-0.222373,0.454008,-0.0801879,-0.160841,1.35876,-0.180142,1.00073,0.33803,-0.0647828,0
-0.746671,-0.886493,-0.838316,-2.27432,-0.65561,-0.619859,-2.06665,0.0130298,-0.898724,-2.08505,-0.590111,-0.746665,-0.345437,-0.561686,-1.26561,0.152026,-0.227956,1.0344,0.607933,0.378602,1.64019,0.138567,0.511243,1.86308,0.322651,0.978456,0.320679,0.367804,0.921744,1.21413,0
-1.32952,-1.45967,-1.70017,-1.75417,-1.28773,-1.55526,-1.1278,-1.34342,-1.49528,-1.46406,-1.20022,-1.35859,1.82724,1.98524,1.56683,-0.470957,-0.494484,0.0432201,-0.23914,-0.0265692,0.455904,-0.271938,-0.47748,0.267488,-0.340179,0.0241529,-0.773024,2.06452,1.73647,1.71721,0
-0.412545,-0.524281,-0.466346,-0.885395,-0.0383804,-0.03721,-0.35948,0.502005,-0.0308126,-0.615508,0.0871368,-0.169909,-0.316123,-0.653377,-0.968062,0.00907666,-0.659643,0.854885,0.160657,-0.045823,1.02234,-0.0902402,0.236495,1.09113,-0.387535,0.509969,-0.241416,-0.111552,-0.0543933,0.677508,0
-0.281751,-0.149746,-0.0253616,-0.349209,0.193284,0.482391,0.0190076,0.575237,0.401139,-0.20825,0.29945,0.049806,-0.362074,-0.433027,-0.917146,0.651602,0.669721,1.52962,1.08374,1.149,1.68963,0.734091,1.047,1.98941,1.14041,1.21297,0.760252,0.69948,0.724849,1.14043,0
0.0113581,0.141023,0.514037,0.481532,0.850735,0.860847,0.309067,0.992232,0.779185,-0.133439,0.502569,0.28902,-0.74964,-1.15562,-0.662775,1.70532,1.05343,1.84577,1.73978,1.01049,1.60952,1.34604,0.798193,2.02119,1.54087,0.85526,1.61564,0.504787,0.501408,0.706148,0
-0.0637592,-0.373091,-0.267237,-0.366895,0.337974,-0.0498056,0.193555,0.509723,-0.0033122,-0.15604,0.418589,-0.0903759,-0.380682,-0.721639,-1.35774,1.15805,1.14791,1.96928,1.64296,1.76305,2.45573,1.37033,1.64866,2.50672,1.51025,1.92007,1.35314,1.29921,1.17928,1.58641,0
0.0256222,-0.0696103,-0.0627083,0.196639,0.75499,-0.180438,0.589715,0.508674,0.171201,0.330575,0.500598,0.231861,-0.443223,-0.637488,-1.15709,0.56811,0.246274,0.997445,1.1328,0.957478,1.09444,0.882451,0.775838,1.27362,0.787664,1.12247,0.328686,0.938293,0.720231,0.478451,0
-0.509638,0.0527719,0.117102,-1.31291,0.610441,-0.07729,-0.451318,0.174824,0.0221715,-0.610457,0.429193,0.47833,0.481786,0.00579771,-0.194929,-0.0298815,-0.162755,0.360216,0.345833,0.746556,0.737821,-0.330616,0.804318,0.745,-0.0268379,1.16441,0.226434,1.71837,1.02464,0.399308,0
