,NOISE_FREE_GENE_INDICES,CLUSTER_NO,Distance_FROM_CLUSTER_CENTROID
0,0,3,0.8817238835838274
1,1,0,0.9369663238036599
2,2,0,0.5643210423860273
3,3,0,0.5176372508997907
4,4,3,0.7198741463589226
5,5,3,0.5576258397734033
6,6,6,0.5673958096927278
7,7,2,0.8941825432128145
8,8,0,0.8691320870521818
9,9,6,1.691922464762337
10,10,1,1.5824773418891513
11,11,0,0.9257860051218785
12,12,2,0.7007965312106843
13,13,2,0.9045337484043461
14,14,2,0.8018051605853945
15,15,2,0.78098459280032
16,16,0,0.9904920792366069
17,17,0,0.8874196411746564
18,18,3,0.6782066516426649
19,19,0,0.2798809260078464
20,20,0,0.45999078242430996
21,21,4,0.602931181405563
22,22,2,1.0318554814418228
23,23,4,0.4866346075445087
24,24,0,0.6960683079320871
25,25,0,0.3595965000131843
26,26,0,0.34547587101796357
27,27,0,0.4244176690046386
28,28,0,0.7067889646136924
29,29,0,0.45796751578661166
30,30,0,0.3093738460793352
31,31,3,0.579866451259574
32,32,0,0.40308496877542555
33,33,0,0.8017959743800687
34,34,0,0.9451199108258473
35,35,4,0.5636570926578718
36,36,0,0.29503493490054966
37,37,0,0.4087467452793868
38,38,0,0.4929202691894779
39,39,4,0.504448919493002
40,40,0,0.5503220460200662
41,41,4,1.1808449892683959
42,42,0,0.4897134210901953
43,43,0,0.4978570188582142
44,44,6,1.1951090666059405
45,45,6,0.4164154481843485
46,46,0,0.4554223163943886
47,47,0,0.5132656494602871
48,48,0,0.2843152711342227
49,49,0,0.42946820566459554
50,50,3,0.7718795245927018
51,51,0,0.6551289070058524
52,52,4,0.36361856675201143
53,53,4,0.4091573081825766
54,54,6,0.6107572808997634
55,55,6,0.6834777632266483
56,56,3,0.6899529607676366
57,57,0,0.6262215307986864
58,58,6,0.4707544287686109
59,59,0,0.4626814499857678
60,60,0,0.33200475110896144
61,61,3,1.2628008201242205
62,62,0,0.3669011168932092
63,63,3,0.4929613223545561
64,64,0,0.5232113048075433
65,65,2,0.5960062388776294
66,66,2,0.8611582429898833
67,67,0,0.43834481195735764
68,68,0,0.6354222095671639
69,69,2,0.518776523233624
70,70,0,0.5189147989985705
71,71,0,0.28948350969054226
72,72,0,0.4172604764773383
73,73,4,1.0968899035731061
74,74,5,0.6695555481196562
75,75,3,1.2283227172083155
76,76,2,1.2780620568586343
77,77,0,0.6007180792472985
78,78,0,0.6483308117968174
79,79,0,0.7648024358854555
80,80,0,0.5249815935533634
81,81,0,1.1268104523884537
82,82,1,0.913031052987786
83,83,4,0.4649013871522143
84,84,6,0.4335466417921063
85,85,0,0.47433220524128
86,86,6,0.6369614961778929
87,87,4,0.5662928045986234
88,88,6,0.5262900496969017
89,89,3,1.8405577533034814
90,90,0,0.5856272510837346
91,91,6,0.6000735320539542
92,92,7,0.9598010460162031
93,93,0,0.6966660562060403
94,94,0,0.4183503426149201
95,95,6,1.2613376610582783
96,96,6,1.129081613664907
97,97,6,0.9067569487507225
98,98,6,1.0534571769138767
99,99,2,0.900171172262178
100,100,6,0.8404256906177906
101,101,0,0.5054201692404163
102,102,0,0.5278785646398955
103,103,0,1.2344861968070338
104,104,0,0.5528502582514804
105,105,0,0.5834140713909574
106,106,0,0.8562011096679671
107,107,0,0.7330820319109056
108,108,0,0.7162778237529546
109,109,0,0.6888374076164522
110,110,4,0.70550859076511
111,111,0,0.3889663788380896
112,112,0,0.45026853321627125
113,113,0,0.44997192770427213
114,114,0,0.4984831351268429
115,115,4,0.337608296770996
116,116,6,0.4818176979546046
117,117,6,2.6739100929008455
118,118,6,0.6573194795494584
119,119,6,0.47917229631041824
120,120,3,1.796710280185007
121,121,0,0.38165329588891184
122,122,0,0.4162979347309441
123,123,4,0.5439373471607207
124,124,0,0.3817152660941001
125,125,4,0.5734861824681242
126,126,3,0.53262441698865
127,127,6,1.742740437586974
128,128,6,0.5335056744058095
129,129,4,0.5500194823239252
130,130,6,1.8874002438210407
131,131,0,0.3561228149933995
132,132,4,2.0683799634514517
133,133,4,0.8336100737391432
134,134,3,0.8832105139440433
135,135,0,0.9329689643170854
136,136,3,1.1204227051477853
137,137,4,0.8670713297575089
138,138,0,0.26206021387705297
139,139,0,0.6946605811818426
140,140,6,0.5380492182436579
141,141,4,0.9009603916267646
142,142,0,0.4012148686703418
143,143,0,0.426915091509121
144,144,3,0.4109759880525049
145,145,4,0.7578932045027863
146,146,0,0.5409328766477951
147,147,0,0.26772742775586
148,148,4,1.2708959020918822
149,149,3,1.5573963172454228
150,150,3,1.066326966388112
151,151,3,1.1986576505062085
152,152,0,0.5511029880490108
153,153,0,0.4831842364513969
