,NOISE_FREE_GENE_INDICES,CLUSTER_NO,Distance_FROM_CLUSTER_CENTROID
171,171,0,4.574522143800326
172,172,0,4.148384387802977
173,173,0,4.362257531170316
174,174,0,6.230568043798987
175,175,0,5.8102975582075445
176,176,0,6.562013022101591
177,177,0,6.4601607980610245
178,178,0,6.347532808996922
179,179,0,5.89594476897178
180,180,0,5.945914919015156
181,181,0,6.293306702028761
182,182,0,6.49193105891937
183,183,0,6.230332670417785
184,184,0,6.301414825064884
185,185,0,6.27852153015228
186,186,0,6.623230183461052
187,187,0,6.2251150993702185
188,188,0,6.1106090031623514
189,189,0,6.6378497260283265
190,190,0,6.404573819669351
191,191,0,6.746980940577175
192,192,0,6.175840786702267
193,193,0,6.360048914992071
194,194,0,5.99007776698113
195,195,0,6.428090787037016
196,196,0,5.962907204892408
197,197,0,6.629691251713924
198,198,0,6.38120610400949
199,199,0,6.346734111996802
200,200,0,6.019272671331425
201,201,0,6.01962564543396
202,202,0,7.004906559399049
203,203,0,6.428412710024327
204,204,0,6.1304738673285515
205,205,0,6.023889487181811
206,206,0,6.330281774114543
207,207,0,5.830656760406753
208,208,0,6.406042775040824
209,209,0,6.040305447896649
210,210,0,4.706842141284524
211,211,0,4.976743507273693
212,212,0,6.5974247440232805
213,213,0,6.157415227677147
214,214,0,6.48743378951052
215,215,0,6.278540015346179
216,216,0,6.387410210365483
217,217,0,5.927900715145917
218,218,0,6.456511527806533
219,219,0,6.430782213304792
220,220,0,6.344843643877002
221,221,0,6.659504694589091
222,222,0,6.120324111056715
223,223,0,6.10880344861139
224,224,0,6.2826666327223855
225,225,0,6.783805320401193
226,226,0,6.209385616931174
227,227,0,6.017353932075468
228,228,0,6.838332066070558
229,229,0,5.9968748757116055
230,230,0,6.284418556841663
231,231,0,6.300615539908066
232,232,0,6.6471495281929736
233,233,0,6.157500389092806
234,234,0,6.413554528288206
235,235,0,3.5720302080445925
236,236,0,6.2339748167230775
237,237,0,6.11514392332053
238,238,0,5.989002463796724
239,239,0,6.061682974715155
240,240,0,4.039965621423694
241,241,0,4.294015982890443
242,242,0,6.399418896365396
243,243,0,6.503431305159084
244,244,0,6.156361715936127
245,245,0,6.541898059606818
246,246,0,6.270643384539298
247,247,0,6.628696272196901
248,248,0,5.978705071249009
249,249,0,6.290152618243165
250,250,0,6.47076252958621
251,251,0,6.286972065981848
252,252,0,6.67341627431395
253,253,0,6.301632506959939
254,254,0,6.142072371358957
255,255,0,6.380295078424389
256,256,0,6.119490836018237
257,257,0,6.169956750511136
258,258,0,6.27615903582748
259,259,0,6.280267625440365
260,260,0,5.017431451103081
261,261,0,4.6623566205252205
262,262,0,6.687339927556475
263,263,0,6.359015344341614
264,264,0,6.407579688372274
265,265,0,6.243154630018948
266,266,0,6.530253362732383
267,267,0,6.290258005801678
268,268,0,6.4015818447265325
269,269,0,5.971744149978205
270,270,0,6.312612890582045
271,271,0,5.932749699605645
272,272,0,6.564193751158919
273,273,0,5.991381468388888
274,274,0,6.3010493221417105
275,275,0,6.18139055822108
276,276,0,6.353247879632627
277,277,0,6.2526634829872085
278,278,0,4.593817921963901
279,279,0,4.679865598455812
280,280,0,4.369143472591409
281,281,0,4.201148323431137
282,282,0,6.098774469419823
283,283,0,6.07923228758204
284,284,0,4.82430709128513
285,285,0,4.9914144907266795
286,286,0,6.223268213987952
287,287,0,6.459534689570233
288,288,0,6.414320331106946
289,289,0,5.853551035186524
290,290,0,6.3928965300182865
291,291,0,6.4452470643783535
292,292,0,6.398014151628605
293,293,0,6.418021692299783
294,294,0,6.330993301970706
