0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,Fake
-0.408906,-0.03713,0.043943,-0.038375,0.119104,0.313472,0.048034,0.237629,0.332663,0.262054,0.620931,0.1702,-0.104148,-0.048579,0.392183,0.174219,-0.503359,-0.257734,-0.212832,-1.42886,-0.368136,0.334491,-0.207724,0.008272,-0.140684,-0.153175,-0.291494,-0.01454,-0.09793,-0.270984,-0.256315,-0.228038,-0.082172,-0.072368,0.124048,0.608229,0.280176,-0.340014,-0.087031,-0.579617,-0.562487,-0.138579,0.126045,-0.217612,-0.003252,-0.198397,-0.084728,-0.031776,0.393146,0.127533,-0.382932,-0.318454,0.132396,-0.088885,0.177474,-0.320439,0.142986,0.158287,-0.323199,-0.974402,0.041596,-0.922289,0.29019,-0.226621,-0.341488,0.147363,-0.08617,-0.146806,-0.258334,-0.119347,-0.234055,-0.297547,0.147143,0.030423,0.566426,-0.037061,-0.296096,-0.027523,-0.240211,-0.155969,0.038488,0.005693,0.004539,-0.3519,0.603206,0.230194,0.205709,0.600736,0.406192,0.139109,0.024566,0.296237,0.491861,0.110333,0.300881,-0.100768,0.10169,0.374995,0.061968,0
0.078035,1.07881,1.0204,1.01021,1.01672,0.829044,0.995022,0.923507,0.851168,0.798162,0.998178,0.903206,1.28211,0.457746,1.05016,0.586988,0.172494,-0.250448,0.694708,0.593632,0.474572,0.091291,0.02269,0.571628,0.576316,0.010267,1.06158,0.964905,0.45169,0.479793,0.7945,0.821537,0.359414,1.03277,0.760444,-0.178601,0.894987,0.882933,0.335168,0.082985,-0.649659,0.562797,-0.277365,1.13644,1.08636,0.129049,0.985788,0.613961,0.933408,0.216965,0.729789,0.373522,0.420491,0.616811,0.195042,0.157922,-0.152556,0.061809,-0.132673,-0.116825,-0.119663,0.849155,-0.031714,0.821959,0.545015,-4.22748,0.193275,0.191089,0.593648,0.293529,-0.018355,0.32075,0.608929,0.782026,-3.67248,0.319509,0.781809,0.786216,-0.004562,-0.21119,0.049653,0.243207,0.665024,-3.54576,-0.407863,0.732147,-0.211003,-0.143406,0.61531,0.710362,0.245229,0.348732,0.742891,0.340049,0.403665,0.273,0.097568,-0.223856,0.087141,0
-0.102232,-0.211853,-0.23184,-0.18301,-0.144348,-0.138049,-0.134828,0.06859,-0.485589,-0.195096,0.118874,-0.095723,0.279629,0.259492,0.230006,0.347971,-0.045354,-0.123475,0.207318,-0.379932,0.222379,-0.057419,0.12939,0.034062,-0.28814,-0.095781,0.216138,0.019849,-0.017643,0.38408,-0.098185,-0.158979,0.248302,-0.174483,0.055402,-0.021289,-0.162052,0.205529,-0.285211,-0.289709,-0.69658,0.251061,-0.602526,0.345042,0.535145,0.14215,0.346716,0.262114,0.05402,-0.11392,0.290725,0.368718,-0.093901,-0.217265,0.032539,-0.013519,-0.508502,-0.314881,-0.212965,0.308235,0.06194,-0.230013,-0.22335,0.196138,0.069933,-1.00967,0.182044,-0.253301,0.413921,-0.250909,0.12155,0.147553,0.038166,-0.043219,-0.443481,-0.132298,-0.46114,0.460681,-0.175331,-0.21927,0.230753,-0.181226,-0.135437,-0.580296,-0.315377,-0.028478,-0.331159,-0.288046,0.12498,0.017528,-0.160193,0.073656,0.008373,0.127483,0.115902,0.082539,-0.110465,-0.294554,0.165117,0
-0.161527,0.039973,0.101789,-0.003776,-0.080134,-0.065542,-0.170363,0.10434,0.060301,0.088418,0.230822,-0.15904,0.212688,0.115621,0.58388,0.650544,-0.120811,-0.091038,0.168261,-1.04408,0.060297,-0.233652,0.180065,0.019362,0.148694,-0.136393,0.250877,0.188508,-0.018871,0.012996,0.123257,-0.024686,-0.214041,-0.15601,0.247265,-0.506761,0.020661,0.166902,0.103305,-0.258623,-0.499966,0.062907,-0.649905,0.141369,0.403959,0.116669,0.317673,0.37855,0.396315,-0.218346,-0.34611,-0.021674,0.364267,-0.391094,0.237198,-0.073132,-0.31924,0.186183,-0.004416,0.255864,-0.18034,-0.041485,-0.346945,0.153391,0.082447,-0.957959,0.096343,-0.290878,0.082009,-0.202233,0.011511,0.176593,0.239166,0.235094,0.039901,0.139229,-0.350469,-0.019433,-0.282572,-0.046835,-0.058782,0.04714,-0.063256,-0.435103,-0.593093,0.346136,-0.196813,-0.274651,-0.285116,-0.034084,0.034145,0.328175,0.207663,0.233849,-0.119376,-0.318424,-0.009479,-0.387845,-0.602992,0
-0.073945,0.154124,0.19102,0.111703,0.114897,0.179482,0.097766,0.353017,0.251142,0.238617,0.447964,0.246345,0.271808,0.339362,0.726556,0.526522,-0.08381,0.019272,0.303301,-0.263202,0.327078,0.238647,0.194314,0.251215,0.106991,0.226076,0.426738,0.059327,0.270207,0.282673,0.175521,0.088754,0.177192,0.089964,0.097464,0.232116,0.283514,0.00427,0.114378,-0.01738,-0.174486,-0.048581,-0.249615,0.361334,0.432667,0.232058,0.392938,0.283449,0.130408,0.364598,0.292277,0.108525,0.032318,-0.049538,0.182425,0.160051,-0.076224,0.195165,0.066519,0.336604,0.105068,-0.154864,0.416811,0.288139,0.036001,0.000637,0.214985,-0.239057,0.364739,-0.055662,0.361916,0.178844,0.090496,0.124779,0.047634,-0.143337,0.19814,0.467248,0.130892,0.043289,0.281043,0.065401,0.207954,-0.100231,-0.039964,-0.171966,-0.376775,0.30908,0.33157,0.051971,0.011394,0.34342,0.199391,0.19961,0.447036,-0.001325,0.061756,-0.242705,-0.489807,0
-0.142209,-0.294605,-0.279204,-0.24623,-0.230108,-0.227866,-0.321257,0.040442,-0.072885,-0.09958,0.140813,0.11948,-0.135965,-0.063612,0.175992,0.086485,-0.500869,-0.292376,-0.164984,-0.42274,-0.279415,-0.192679,-0.160014,-0.178901,-0.208889,-0.06974,-0.158129,0.037353,-0.079299,-0.186564,-0.241096,-0.166121,-0.217138,-0.116071,-0.005143,-0.058292,-0.098444,-0.336168,-0.426815,-0.71083,-0.579696,-0.19396,-0.446914,-0.273838,0.053425,-0.231739,-0.086346,-0.049198,0.093596,0.032805,-0.459545,-0.183359,-0.106277,-0.282199,-0.338845,-0.561403,-0.25874,-0.191583,-0.305931,-0.185961,-0.376284,-0.654561,-0.051481,-0.070816,-0.402534,-0.470872,-0.288965,-0.255279,-0.129408,-0.291303,-0.161191,-0.248123,0.170102,0.023461,-0.049217,-0.301801,-0.283409,-0.129649,-0.246145,-0.298508,-0.06288,-0.088885,-0.088255,-0.370096,-0.028627,0.244178,-0.318029,0.108802,-0.19394,-0.02656,-0.055283,0.017409,0.081172,0.067591,0.093381,-0.183418,-0.114914,-0.04387,-0.005249,0
-0.253579,-0.028788,-0.01465,0.046999,-0.029484,-0.172724,-0.251285,0.30993,-0.125338,-0.115618,0.003351,0.319825,-0.046787,-0.172557,0.482931,0.253789,-0.403792,-0.33045,-0.058498,-0.193989,-0.084794,0.147837,0.044925,0.085313,0.025125,0.007937,0.008768,-0.059957,-0.083871,-0.19029,-0.185324,-0.123654,0.006285,-0.062558,-0.021232,0.08652,0.07888,-0.272899,-0.004282,-0.317456,0.04025,-0.011009,-0.282199,0.020056,0.210698,0.001675,0.131006,0.023347,0.55609,0.037521,-0.208953,-0.36259,0.231301,0.032012,-0.134116,-0.269097,-0.280973,-0.162732,-0.160329,-0.328055,-0.101061,-0.28522,0.255959,-0.199531,-0.24664,-0.093628,0.022816,0.318868,-0.293601,-0.23296,-0.048366,-0.048772,-0.108288,-0.086723,0.348259,-0.112388,-0.091227,0.069461,-0.165784,0.169901,-0.185685,-0.051205,-0.004056,0.026724,0.175141,0.32293,0.346599,0.468106,0.370981,-0.185354,-0.142754,0.35404,0.315023,0.099642,0.041784,-0.222347,0.230546,0.007306,-0.067715,0
-0.187239,0.116114,0.007309,-0.024884,-0.055168,0.088771,-0.141826,0.212326,0.041807,0.127318,0.281472,0.119099,0.157525,-0.133787,0.539156,0.342864,-0.473037,-0.102501,0.206145,-0.272489,0.122865,-0.055958,0.135233,0.014167,0.128354,-0.076251,0.209964,0.211616,0.093068,-0.01833,-0.332106,-0.007228,-0.072606,0.047093,0.046709,0.127206,0.205301,-0.006301,-0.108563,-0.083929,-0.547408,0.105969,0.039988,-0.241361,-0.093012,0.033513,0.127596,0.088694,0.408179,0.074171,-0.162917,-0.072566,0.254368,0.062194,0.059069,-0.180612,-0.060531,-0.140009,-0.28889,0.32417,-0.344345,-0.23531,0.03004,-0.204614,0.007475,0.105462,-0.068575,0.075527,0.226716,0.022873,0.027306,0.044099,0.368671,0.36537,0.499544,0.229117,-0.393823,0.247331,-0.017712,-0.232395,0.275416,0.225986,0.051206,-0.156539,0.404499,0.373675,-0.058527,0.350935,0.244377,-0.124331,0.348078,0.276417,0.439021,0.280749,-0.05787,0.161559,0.054629,0.167921,0.067999,0
-0.256574,-0.050297,-0.118435,-0.047773,-0.068756,0.134729,-0.073432,0.137614,-0.034948,0.013433,0.26341,0.241394,0.09133,-0.042648,0.361613,0.232287,-0.445505,-0.299341,-0.016952,-0.281251,-0.100374,0.031248,0.002773,0.172967,-0.036043,-0.04354,-0.131039,0.049581,-0.198019,-0.282495,-0.191815,-0.084463,-0.135591,0.090291,0.080721,0.129597,0.298117,-0.145804,-0.198987,-0.341717,-0.369366,0.013387,-0.345115,-0.348445,-0.036359,0.008812,0.038726,0.174911,0.4225,0.133228,-0.346425,-0.446441,0.214709,0.14591,-0.027704,-0.116053,-0.173829,-0.004167,-0.244507,0.115605,-0.108064,-0.376056,0.153611,-0.072959,-0.194772,-0.335365,-0.171083,-0.210382,-0.067815,-0.060895,-0.1084,-0.067014,0.198929,0.123799,0.166638,-0.07162,-0.267494,0.144701,-0.169108,-0.134022,-0.014199,0.010271,0.072509,-0.1018,0.187598,0.522441,0.189096,0.415672,0.464323,-0.063751,0.116106,0.367378,0.149872,0.575069,0.477043,0.204201,0.135608,0.520945,0.321217,0
-0.198315,-0.0054,0.074386,0.101848,0.189846,0.244654,0.05266,0.35078,0.28065,0.258328,0.419165,0.360937,-0.248114,0.001165,0.264675,0.181425,-0.422194,-0.311089,-0.022197,-0.379683,-0.288659,0.327813,-0.067084,0.128185,0.09975,0.138907,-0.03061,0.155336,0.164484,-0.038259,-0.340842,-0.248111,-0.016609,0.128105,0.252627,0.448526,0.443343,-0.195312,-0.185366,-0.607058,-0.105196,-0.133113,0.065269,-0.349069,-0.126241,-0.104716,-0.106845,-0.033536,0.429518,0.395056,-0.17624,-0.403015,0.083781,0.148654,0.25292,-0.172068,0.153468,0.131704,-0.39169,0.023364,0.258374,-0.69724,0.259478,0.034004,-0.205128,-0.002496,0.006323,-0.239589,0.174955,0.060872,-0.20638,-0.092134,0.584779,0.196149,0.289015,-0.101028,-0.164528,0.022369,0.139136,0.037327,0.070863,0.087798,0.175491,-1.07103,0.519873,0.442393,0.098361,0.477638,0.596596,0.377799,0.015153,-0.103497,0.268784,-0.098406,0.066198,0.127555,-0.033867,0.830713,0.157485,0
