,0
270,3XSSC
271,3XSSC
272,3XSSC
273,3XSSC
274,3XSSC
275,3XSSC
276,3XSSC
277,3XSSC
278,TEL1
279,TEL1
280,YMR082C
281,YMR082C
282,3XSSC
283,3XSSC
284,YMR254C
285,YMR254C
286,3XSSC
287,3XSSC
288,3XSSC
289,3XSSC
290,3XSSC
291,3XSSC
292,3XSSC
293,3XSSC
294,3XSSC
295,3XSSC
296,3XSSC
297,3XSSC
298,3XSSC
299,3XSSC
300,3XSSC
301,3XSSC
302,3XSSC
303,3XSSC
304,3XSSC
305,3XSSC
306,3XSSC
307,3XSSC
308,3XSSC
309,3XSSC
310,3XSSC
311,3XSSC
312,3XSSC
313,3XSSC
314,3XSSC
315,3XSSC
316,3XSSC
317,3XSSC
318,3XSSC
319,3XSSC
320,3XSSC
321,3XSSC
322,3XSSC
323,3XSSC
324,3XSSC
325,3XSSC
326,3XSSC
327,3XSSC
328,3XSSC
329,3XSSC
330,3XSSC
331,3XSSC
332,MRPL15
333,MRPL15
334,3XSSC
335,3XSSC
336,3XSSC
337,3XSSC
338,3XSSC
339,3XSSC
340,YNL105W
341,YNL105W
342,3XSSC
343,3XSSC
344,3XSSC
345,3XSSC
346,3XSSC
347,3XSSC
348,3XSSC
349,3XSSC
350,3XSSC
351,3XSSC
352,3XSSC
353,3XSSC
354,3XSSC
355,3XSSC
356,3XSSC
357,3XSSC
358,3XSSC
359,3XSSC
360,3XSSC
361,3XSSC
362,3XSSC
363,3XSSC
364,3XSSC
365,3XSSC
366,3XSSC
367,3XSSC
368,3XSSC
369,3XSSC
370,ERP1
371,ERP1
372,3XSSC
373,3XSSC
374,3XSSC
375,3XSSC
376,3XSSC
377,3XSSC
378,3XSSC
379,3XSSC
380,3XSSC
381,3XSSC
382,3XSSC
383,3XSSC
384,3XSSC
385,3XSSC
386,3XSSC
387,3XSSC
388,3XSSC
389,3XSSC
390,3XSSC
391,3XSSC
392,3XSSC
393,3XSSC
394,3XSSC
395,3XSSC
396,3XSSC
397,3XSSC
398,YOL037C
399,YOL037C
400,YOL079W
401,YOL079W
402,3XSSC
403,3XSSC
404,3XSSC
405,3XSSC
406,3XSSC
407,3XSSC
408,3XSSC
409,3XSSC
410,3XSSC
411,3XSSC
412,3XSSC
413,3XSSC
414,3XSSC
415,3XSSC
416,3XSSC
417,3XSSC
418,3XSSC
419,3XSSC
420,YLR035C-A
421,YLR035C-A
422,3XSSC
423,3XSSC
424,3XSSC
425,3XSSC
426,3XSSC
427,3XSSC
428,3XSSC
429,3XSSC
430,3XSSC
431,3XSSC
432,3XSSC
433,3XSSC
434,3XSSC
435,3XSSC
436,3XSSC
437,3XSSC
438,3XSSC
439,3XSSC
440,3XSSC
441,3XSSC
442,3XSSC
443,3XSSC
444,YLR302C
445,3XSSC
446,3XSSC
447,3XSSC
448,3XSSC
449,3XSSC
450,3XSSC
451,3XSSC
452,3XSSC
453,3XSSC
454,3XSSC
455,3XSSC
456,3XSSC
457,3XSSC
458,3XSSC
459,VID28
460,VID28
461,3XSSC
462,3XSSC
463,3XSSC
464,3XSSC
465,3XSSC
466,3XSSC
467,3XSSC
468,3XSSC
469,3XSSC
470,3XSSC
471,3XSSC
472,3XSSC
473,3XSSC
474,3XSSC
475,3XSSC
476,3XSSC
477,3XSSC
478,3XSSC
479,3XSSC
480,3XSSC
481,3XSSC
482,3XSSC
483,3XSSC
484,3XSSC
485,3XSSC
486,3XSSC
487,3XSSC
488,3XSSC
489,3XSSC
490,3XSSC
491,3XSSC
492,3XSSC
493,3XSSC
494,3XSSC
495,3XSSC
496,REC102
497,3XSSC
498,3XSSC
499,SLZ1
500,3XSSC
501,3XSSC
502,YOL166C
503,YOL166C
504,YOL162W
505,YOL162W
506,3XSSC
507,3XSSC
508,3XSSC
509,3XSSC
510,3XSSC
511,3XSSC
512,3XSSC
513,3XSSC
514,3XSSC
515,3XSSC
516,3XSSC
517,3XSSC
518,3XSSC
519,3XSSC
520,3XSSC
521,3XSSC
522,3XSSC
523,3XSSC
524,3XSSC
525,3XSSC
526,3XSSC
527,3XSSC
528,3XSSC
529,3XSSC
530,3XSSC
531,3XSSC
532,3XSSC
533,3XSSC
534,3XSSC
535,3XSSC
536,3XSSC
537,3XSSC
538,3XSSC
539,3XSSC
540,3XSSC
541,3XSSC
542,3XSSC
543,3XSSC
544,3XSSC
545,3XSSC
546,3XSSC
547,3XSSC
548,3XSSC
549,3XSSC
550,3XSSC
551,3XSSC
552,3XSSC
553,SPT6
554,3XSSC
555,3XSSC
556,3XSSC
557,3XSSC
558,3XSSC
559,3XSSC
560,3XSSC
561,3XSSC
562,3XSSC
563,3XSSC
564,3XSSC
565,3XSSC
566,3XSSC
567,3XSSC
568,3XSSC
569,3XSSC
570,3XSSC
571,3XSSC
572,3XSSC
573,3XSSC
574,3XSSC
575,3XSSC
576,3XSSC
577,3XSSC
578,3XSSC
579,3XSSC
580,3XSSC
581,3XSSC
582,3XSSC
583,3XSSC
584,3XSSC
585,3XSSC
586,3XSSC
587,3XSSC
588,3XSSC
589,3XSSC
590,3XSSC
591,3XSSC
592,3XSSC
593,3XSSC
594,3XSSC
595,3XSSC
596,3XSSC
597,3XSSC
598,3XSSC
599,3XSSC
600,3XSSC
601,3XSSC
602,3XSSC
603,3XSSC
604,3XSSC
605,3XSSC
606,3XSSC
607,3XSSC
608,3XSSC
609,3XSSC
610,3XSSC
611,3XSSC
612,3XSSC
613,3XSSC
614,3XSSC
615,3XSSC
616,3XSSC
617,3XSSC
618,3XSSC
619,3XSSC
620,3XSSC
621,3XSSC
622,3XSSC
623,3XSSC
624,YHR095W
625,YHR095W
626,YHR049C-A
627,3XSSC
628,3XSSC
629,3XSSC
630,3XSSC
631,3XSSC
632,3XSSC
633,3XSSC
634,3XSSC
635,PCI8
636,PCI8
637,3XSSC
638,3XSSC
639,3XSSC
640,3XSSC
641,3XSSC
642,3XSSC
643,3XSSC
644,3XSSC
645,3XSSC
646,3XSSC
647,3XSSC
648,3XSSC
649,3XSSC
650,3XSSC
651,3XSSC
652,3XSSC
653,3XSSC
654,3XSSC
655,3XSSC
656,3XSSC
657,3XSSC
658,3XSSC
659,3XSSC
660,3XSSC
661,3XSSC
662,3XSSC
663,3XSSC
664,3XSSC
665,3XSSC
666,3XSSC
667,3XSSC
668,3XSSC
669,3XSSC
670,3XSSC
671,3XSSC
672,3XSSC
673,3XSSC
674,3XSSC
675,3XSSC
676,3XSSC
677,3XSSC
678,3XSSC
679,3XSSC
680,3XSSC
681,3XSSC
682,3XSSC
683,3XSSC
684,3XSSC
685,YNL170W
686,YNL170W
687,3XSSC
688,3XSSC
689,3XSSC
690,3XSSC
691,3XSSC
692,3XSSC
693,3XSSC
694,3XSSC
695,3XSSC
696,3XSSC
697,3XSSC
698,3XSSC
699,3XSSC
700,3XSSC
701,3XSSC
702,3XSSC
703,3XSSC
704,3XSSC
705,3XSSC
706,3XSSC
707,3XSSC
708,3XSSC
709,3XSSC
710,3XSSC
711,3XSSC
712,3XSSC
713,3XSSC
714,3XSSC
715,3XSSC
716,3XSSC
717,3XSSC
718,3XSSC
719,3XSSC
720,3XSSC
721,3XSSC
722,3XSSC
723,3XSSC
724,3XSSC
725,3XSSC
726,3XSSC
727,3XSSC
728,3XSSC
729,3XSSC
730,3XSSC
731,3XSSC
732,3XSSC
733,3XSSC
734,3XSSC
735,3XSSC
736,3XSSC
737,NFI1
738,NFI1
739,3XSSC
740,3XSSC
741,3XSSC
742,3XSSC
743,3XSSC
744,3XSSC
745,3XSSC
746,3XSSC
747,3XSSC
748,3XSSC
749,3XSSC
750,3XSSC
751,3XSSC
752,3XSSC
753,DID2
754,DID2
755,3XSSC
756,3XSSC
757,3XSSC
758,3XSSC
759,3XSSC
760,3XSSC
761,3XSSC
762,3XSSC
763,3XSSC
764,3XSSC
765,3XSSC
766,3XSSC
767,3XSSC
768,3XSSC
769,3XSSC
770,3XSSC
771,3XSSC
772,3XSSC
773,3XSSC
774,3XSSC
775,3XSSC
776,3XSSC
777,3XSSC
778,3XSSC
779,3XSSC
780,3XSSC
781,3XSSC
782,3XSSC
783,3XSSC
784,3XSSC
785,3XSSC
786,3XSSC
787,3XSSC
788,3XSSC
789,3XSSC
790,3XSSC
791,3XSSC
792,3XSSC
793,3XSSC
794,3XSSC
795,YNL205C
796,3XSSC
797,3XSSC
798,3XSSC
799,3XSSC
800,3XSSC
801,3XSSC
802,3XSSC
803,3XSSC
804,3XSSC
805,3XSSC
806,3XSSC
807,3XSSC
808,3XSSC
809,3XSSC
810,3XSSC
811,3XSSC
812,3XSSC
813,3XSSC
814,3XSSC
815,3XSSC
816,3XSSC
817,3XSSC
818,3XSSC
819,3XSSC
820,3XSSC
821,3XSSC
822,3XSSC
823,3XSSC
824,3XSSC
825,3XSSC
826,3XSSC
827,3XSSC
828,3XSSC
829,3XSSC
830,3XSSC
831,3XSSC
832,3XSSC
833,3XSSC
834,EST3
835,EST3
836,3XSSC
837,3XSSC
838,3XSSC
839,3XSSC
840,3XSSC
841,3XSSC
842,3XSSC
843,3XSSC
844,3XSSC
845,3XSSC
846,HXT2
847,HXT2
848,TAF4
849,RAS2
850,RPS7B
851,RPS7B
852,TSR4
853,RTG1
854,TAT2
855,CMK2
856,CMK2
857,RDL2
858,RPL33B
859,YPL229W
860,YPL229W
861,SAM4
862,ATP15
863,ATP15
864,GPB2
865,SPO7
866,OAF1
867,OAF1
868,GEM1
869,GEM1
870,CSH1
871,CSH1
872,YBR206W
873,YBR206W
874,LDH1
875,LDH1
876,MCM7
877,MCM7
878,AHK1
879,AHK1
880,ERG4
881,PRE9
882,PRE9
883,PDC6
884,PEX4
885,LSM12
886,PRP8
887,DLS1
888,DLS1
889,CCT7
890,CCT7
891,MRPL8
892,GAA1
893,TUS1
894,TUS1
895,GLO1
896,GLO1
897,DFG5
898,TAF9
899,VPS75
900,SUI1
901,SUI1
902,RPS7A
903,RPS7A
904,ARF3
905,CUE5
906,SEC16
907,RPS9A
908,SRL4
909,RPL21B
910,RPS23B
911,RPS23B
912,YBL086C
913,YBL086C
914,ALG3
915,RVS161
916,RVS161
917,PSF1
918,UTP5
919,RPT3
920,RPT3
921,FTR1
922,SPT16
923,SPT16
924,ARI1
925,ARI1
926,BGL2
927,ICE2
928,HOC1
929,OPI3
930,BNA1
931,COX5A
932,COX5A
933,PEX22
934,FUN14
935,TFC3
936,MSS4
937,EBS1
938,SAC3
939,COQ4
940,RAV2
941,CPR1
942,CPR1
943,GLY1
944,GLY1
945,PAU10
946,UTR2
947,PAD1
948,PDR1
949,PDR1
950,SCL1
951,PIL1
952,PIL1
953,PHB1
954,MRP13
955,NMD3
956,BNA3
957,BNA3
958,YKL107W
959,YKL107W
960,APE1
961,NYV1
962,NYV1
963,TRX1
964,TRX1
965,YAP1
966,TDA5
967,TDA5
968,BCH1
969,RNA1
970,MRPS17
971,TRI1
972,TRI1
973,HSC82
974,MSB3
975,CWC25
976,SLA2
977,SLA2
978,ZWF1
979,SEC21
980,SEC21
981,LAP3
982,LAP3
983,RKI1
984,STD1
985,TOM6
986,TMA46
987,MOT1
988,SVL3
989,ATP4
990,SPN1
991,TIP1
992,TIP1
993,AAD3
994,AAD3
995,YDR112W
996,LCB2
997,LCB2
998,SMC1
999,SMC1
1000,VTC2
1001,VTC2
1002,ERG7
1003,PRI1
1004,PRI1
1005,MRT4
1006,MRT4
1007,RPS25B
1008,RPS25B
1009,RPS16A
1010,RPS16A
1011,ALA1
1012,ALA1
1013,SRP54
1014,VMA13
1015,VMA13
1016,URA7
1017,URA7
1018,POL12
1019,POL12
1020,RIB1
1021,RIB1
1022,YCL002C
1023,YCL002C
1024,RIB5
1025,COS2
1026,COS2
1027,SPO23
1028,UGA3
1029,SFA1
1030,SFA1
1031,FAP7
1032,BFR2
1033,HEM14
1034,HEM14
1035,FCY2
1036,YGL114W
1037,YGL114W
1038,SGF73
1039,TAF6
1040,TAF6
1041,YBP2
1042,TIM13
1043,CBR1
1044,GVP36
1045,HSP150
1046,HSP150
1047,RPS27A
1048,RPS27A
1049,SRP102
1050,GPM1
1051,PET8
1052,PET8
1053,PAU19
1054,MSO1
1055,THI72
1056,THI72
1057,RPL5
1058,CUP9
1059,TAF14
1060,TAF14
1061,HHO1
1062,CYC8
1063,CYC8
1064,AIM3
1065,YBR062C
1066,PAU3
1067,YCR102C
1068,RSC6
1069,RSC6
1070,AIM7
1071,YDR109C
1072,PUF6
1073,PUF6
1074,YDR444W
1075,BLM10
1076,SEC4
1077,SEC4
1078,DEG1
1079,YGR042W
1080,HXK2
1081,OSH3
1082,RPN1
1083,RPL14A
1084,PAU18
1085,EMC6
1086,EMC6
1087,CSR1
1088,NMA1
1089,NMA1
1090,RPL13B
1091,WHI3
1092,PGA2
1093,LSM7
1094,PAU20
1095,PAU20
1096,TIF5
1097,TIF5
1098,GLN1
1099,GLN1
1100,RER1
1101,RER1
1102,MRPS5
1103,MAL33
1104,ARO4
1105,NRP1
1106,YFH1
1107,YFH1
1108,CPR5
1109,PRO1
1110,PRO1
1111,ATP5
1112,PRP22
1113,RPL34A
1114,RPL34A
1115,HIS1
1116,PIC2
1117,NAS6
1118,NAS6
1119,UBR1
1120,UBR1
1121,AGE2
1122,IMD2
1123,PKP1
1124,PIR5
1125,CIS3
1126,MNN4
1127,RLP7
1128,RLP7
1129,YRF1-6
1130,ARP8
1131,GSP2
1132,CBC2
1133,OLA1
1134,FUR4
1135,AVT5
1136,KAR4
1137,GCS1
1138,GCS1
1139,FMP45
1140,CDC13
1141,CDC13
1142,FLO8
1143,FLO8
1144,ZUO1
1145,GSP1
1146,GCD10
1147,YNL108C
1148,MIM1
1149,SDH5
1150,SDH5
1151,RRS1
1152,ESA1
1153,SNF2
1154,SNF2
1155,SUI3
1156,SUI3
1157,PSK1
1158,PSK1
1159,GDH3
1160,NTG1
1161,NTG1
1162,BDH1
1163,BDH1
1164,CNE1
1165,CNE1
1166,PEX32
1167,TYR1
1168,TYR1
1169,YSY6
1170,RPP1A
1171,DBP10
1172,DBP10
1173,ARP2
1174,ARP2
1175,CDC37
1176,PAU2
1177,YFR035C
1178,ENP2
1179,ENP2
1180,YHR173C
1181,RPE1
1182,RPE1
1183,YKL069W
1184,YNK1
1185,YNK1
1186,YKL063C
1187,IES3
1188,IES3
1189,CHA4
1190,KIN2
1191,KIN2
1192,RPS0B
1193,DIF1
1194,TSR2
1195,ERV25
1196,ERV25
1197,COA6
1198,COA6
1199,RPL36A
1200,RPS19B
1201,RPS19B
1202,PIN2
1203,TMC1
1204,TMC1
1205,NOP4
1206,MRP2
1207,MRP2
1208,ETR1
1209,RPL32
1210,RPL32
1211,MRP21
1212,ADE8
1213,RPB7
1214,RPB7
1215,CLG1
1216,PMR1
1217,PMR1
1218,NDC80
1219,NDC80
1220,CCT2
1221,LYS12
1222,LYS12
1223,EMC2
1224,GPN3
1225,FET3
1226,FET3
1227,CLU1
1228,CLU1
1229,NOP2
1230,NOP2
1231,BRX1
1232,BRX1
1233,IFM1
1234,SRL1
1235,RPS10A
1236,RPS10A
1237,PUS7
1238,BDH2
1239,BDH2
1240,SYN8
1241,ECM1
1242,ECM1
1243,MET8
1244,RPL13A
1245,AHA1
1246,AHA1
1247,YDR210W
1248,CWC15
1249,RML2
1250,GIM4
1251,IRC22
1252,THI4
1253,THI4
1254,ENO2
1255,ENO2
1256,YJL118W
1257,YJL070C
1258,MPM1
1259,MNR2
1260,MNR2
1261,HAP4
1262,HAP4
1263,ICT1
1264,ICT1
1265,FCF2
1266,FCF2
1267,IMD3
1268,YML010W-A
1269,YML010W-A
1270,SEN1
1271,SEN1
1272,FAA4
1273,YHM2
1274,RPL18B
1275,RPL18B
1276,YNL247W
1277,OST2
1278,ETT1
1279,RSB1
1280,SSU1
1281,SSU1
1282,ELP3
1283,ELP3
1284,RHO1
1285,TIF3
1286,TIF3
1287,GRS1
1288,GRS1
1289,RDH54
1290,TKL2
1291,TKL2
1292,LYS2
1293,BUD31
1294,BUD31
1295,TRM1
1296,MSC7
1297,MSC7
1298,YLL067C
1299,PGM2
1300,YCK2
1301,YOR389W
1302,RPA190
1303,YPR098C
1304,YPR098C
1305,TAH18
1306,TAH18
1307,RDS3
1308,RDS3
1309,YPR092W
1310,YPR092W
1311,RPC82
1312,RPC82
1313,MLC2
1314,MLC2
1315,ECM15
1316,PHO11
1317,PHO11
1318,PRE7
1319,PRE7
1320,STP22
1321,STP22
1322,RGD1
1323,DLD2
1324,DLD2
1325,TFB1
1326,TFB1
1327,RPN3
1328,VHR2
1329,GPP2
1330,NAB2
1331,RPB9
1332,RPB9
1333,CDC20
1334,SKI6
1335,SKI6
1336,PDX1
1337,HIP1
1338,HIP1
1339,CRH1
1340,MMF1
1341,SYG1
1342,SYG1
1343,YHR219W
1344,YHR219W
1345,UBA1
1346,ELF1
1347,ELF1
1348,SPE4
1349,SPE4
1350,SEC65
1351,SML1
1352,SPC2
1353,SPC2
1354,SIS1
1355,HAS1
1356,HAS1
1357,HOL1
1358,NOG2
1359,NOG2
1360,BFR1
1361,BFR1
1362,MRPL23
1363,MRPL23
1364,VBA4
1365,PAA1
1366,THI5
1367,THI5
1368,UFD1
1369,PAU11
1370,PAU11
1371,KSP1
1372,SWD2
1373,XPT1
1374,ATP7
1375,ATP7
1376,SSL1
1377,SSL1
1378,SSA2
1379,CMS1
1380,DPS1
1381,RPP0
1382,RPP0
1383,NUP53
1384,ILV2
1385,YIM1
1386,IMP1
1387,IGO1
1388,GIM3
1389,GIM3
1390,RPC31
1391,RPC31
1392,SGT2
1393,SGT2
1394,HRP1
1395,HRP1
1396,RRP6
1397,MCH4
1398,RPA43
1399,YPR097W
1400,SYT1
1401,SYT1
1402,MSF1
1403,MSF1
1404,THP3
1405,THP3
1406,NVJ2
1407,RPL43A
1408,RPL43A
1409,YAR068W
1410,YAR068W
1411,LDB16
1412,YBR259W
1413,YBR259W
1414,VCX1
1415,VCX1
1416,PAR32
1417,PAR32
1418,CDC48
1419,CDC48
1420,SSF2
1421,SUM1
1422,YDR262W
1423,SRB7
1424,YDR306C
1425,THO1
1426,CEM1
1427,FCY21
1428,FCY21
1429,YGL069C
1430,PFK1
1431,TPK1
1432,TPK1
1433,TRP3
1434,TRP3
1435,PIR3
1436,EMC3
1437,EMC3
1438,YLR149C
1439,SMD3
1440,UPS1
1441,NTE1
1442,NTE1
1443,CUE4
1444,CUE4
1445,IMD4
1446,YNL010W
1447,YNL010W
1448,ESF2
1449,VPS27
1450,VPS27
1451,RPB2
1452,EDS1
1453,ECM21
1454,ECM21
1455,CDS1
1456,YCL065W
1457,YCL065W
1458,PMP1
1459,REG1
1460,REG1
1461,RPL23B
1462,YER160C
1463,YER160C
1464,YHL049C
1465,YHL049C
1466,SEC24
1467,SEC24
1468,PFK26
1469,SLM1
1470,SLM1
1471,RCK2
1472,TVP18
1473,TVP18
1474,DBP2
1475,DBP2
1476,OPI10
1477,YPR204W
1478,YPR204W
1479,MAK16
1480,MAK16
1481,FUN30
1482,FUN30
1483,YBR224W
1484,ECM31
1485,PYC2
1486,NPL4
1487,NDE2
1488,CRF1
1489,NPR2
1490,UBC8
1491,UBC8
1492,CYS4
1493,GND1
1494,GND1
1495,SVP26
1496,YCK1
1497,ARP4
1498,GCD14
1499,MTC1
1500,YLR062C
1501,UNG1
1502,ECM7
1503,ECM7
1504,OST6
1505,ERG12
1506,ERG12
1507,ERG2
1508,LEU9
1509,YPK3
1510,SLM5
1511,SLM5
1512,MRH1
1513,MRH1
1514,VPS54
1515,HO
1516,HO
1517,RRP17
1518,PAB1
1519,SPT2
1520,VRG4
1521,VRG4
1522,NIF3
1523,NIF3
1524,MDM34
1525,ROK1
1526,PAU12
1527,UBP7
1528,UBP7
1529,IMP2'
1530,MOB1
1531,YIL152W
1532,YIL152W
1533,YEF3
1534,MRPL3
1535,UBC7
1536,CYB5
1537,IRA2
1538,IRA2
1539,MSE1
1540,CPA1
1541,CPA1
1542,NAT5
1543,BUD7
1544,BUD7
1545,HAL1
1546,HSP82
1547,HSP82
1548,YPL238C
1549,YPL238C
1550,FUN26
1551,TDP1
1552,SWD3
1553,SWD3
1554,PDB1
1555,PDB1
1556,UMP1
1557,NAT1
1558,YDL086W
1559,UBC1
1560,UBC1
1561,EDC3
1562,VAC8
1563,PCM1
1564,KEG1
1565,KEG1
1566,RSR1
1567,KOG1
1568,PBS2
1569,NET1
1570,SBA1
1571,SBA1
1572,AHP1
1573,AHP1
1574,RPL22A
1575,YML018C
1576,YML018C
1577,PPZ1
1578,PPZ1
1579,HFA1
1580,HFA1
1581,YMR253C
1582,YMR253C
1583,HOR7
1584,HOR7
1585,TOM40
1586,TOM40
1587,BXI1
1588,BXI1
1589,GIS2
1590,GIS2
1591,MGR2
1592,MGR2
1593,SPT7
1594,PTC4
1595,PTC4
1596,TFC1
1597,MTC5
1598,GRX2
1599,GRX2
1600,SDH7
1601,SDH7
1602,MDJ1
1603,MUP1
1604,GAR1
1605,GAR1
1606,MAD2
1607,YVH1
1608,YVH1
1609,RNR2
1610,ERR1
1611,ERR1
1612,MRPL51
1613,MRPL51
1614,YBL055C
1615,YBL005W-B
1616,YCL019W
1617,NFS1
1618,NFS1
1619,RPL41A
1620,RPL41A
1621,SRF1
1622,SRF1
1623,ASP1
1624,CIA1
1625,ALD5
1626,ALD5
1627,SMB1
1628,SMB1
1629,GAL83
1630,GCD11
1631,CEG1
1632,CWC23
1633,CWC23
1634,MPC1
1635,DBP3
1636,YGR201C
1637,PMT6
1638,PMT6
1639,SDA1
1640,TIM23
1641,TIM23
1642,SMM1
1643,NOC2
1644,PET123
1645,DED1
1646,DED1
1647,ATG5
1648,KES1
1649,KES1
1650,ATG14
1651,ATG14
1652,YBR124W
1653,MRPL36
1654,RSA4
1655,RSA4
1656,SAC6
1657,PDC2
1658,PDC2
1659,PET100
1660,PET100
1661,SED1
1662,SMT3
1663,SMT3
1664,GNP1
1665,YFL066C
1666,YFL066C
1667,GNA1
1668,GNA1
1669,PEF1
1670,PEF1
1671,YGR054W
1672,HXT4
1673,RPF1
1674,RPF1
1675,NCP1
1676,NCP1
1677,DAL81
1678,DAL81
1679,VPS68
1680,VPS68
1681,RPL25
1682,RPL25
1683,LSP1
1684,TYE7
1685,BRR1
1686,PRE2
1687,SNT309
1688,TOD6
1689,TOD6
1690,LDB7
1691,SEC17
1692,SEC17
1693,LEU2
1694,DCC1
1695,DCC1
1696,SDH8
1697,SDH8
1698,REI1
1699,REI1
1700,GBP2
1701,TSC10
1702,TSC10
1703,RDI1
1704,RDI1
1705,CDC53
1706,MCM21
1707,MCM21
1708,RNR1
1709,CHO1
1710,CHO1
1711,MOT2
1712,YAT2
1713,YAT2
1714,RSM23
1715,SOH1
1716,SOH1
1717,KXD1
1718,BRF1
1719,BRF1
1720,YPP1
1721,YPP1
1722,VHR1
1723,VHR1
1724,FAA3
1725,JEN1
1726,MSS51
1727,MSS51
1728,RCF2
1729,RCF2
1730,URK1
1731,URK1
1732,PUP1
1733,PUP1
1734,YOR203W
1735,YOR203W
1736,MRM1
1737,NOP53
1738,NAB3
1739,MIX23
1740,ATP3
1741,ATP3
1742,SNT1
1743,YCL076W
1744,PHO13
1745,ATP17
1746,ATP17
1747,FRQ1
1748,GLO3
1749,GLO3
1750,SCS2
1751,SCS2
1752,SOD2
1753,SOD2
1754,PRS3
1755,PRS3
1756,SOD1
1757,YPT6
1758,NAM7
1759,FAR8
