,0
0,3XSSC
1,3XSSC
2,3XSSC
3,3XSSC
4,3XSSC
5,3XSSC
6,3XSSC
7,3XSSC
8,3XSSC
9,3XSSC
10,3XSSC
11,3XSSC
12,3XSSC
13,3XSSC
14,3XSSC
15,3XSSC
16,3XSSC
17,3XSSC
18,3XSSC
19,3XSSC
20,3XSSC
21,3XSSC
22,3XSSC
23,3XSSC
24,3XSSC
25,3XSSC
26,3XSSC
27,3XSSC
28,3XSSC
29,3XSSC
30,3XSSC
31,3XSSC
32,3XSSC
33,3XSSC
34,3XSSC
35,3XSSC
36,3XSSC
37,3XSSC
38,3XSSC
39,3XSSC
40,3XSSC
41,3XSSC
42,3XSSC
43,3XSSC
44,3XSSC
45,3XSSC
46,3XSSC
47,3XSSC
48,3XSSC
49,3XSSC
50,3XSSC
51,3XSSC
52,3XSSC
53,3XSSC
54,3XSSC
55,3XSSC
56,3XSSC
57,3XSSC
58,3XSSC
59,3XSSC
60,3XSSC
61,3XSSC
62,3XSSC
63,3XSSC
64,3XSSC
65,3XSSC
66,3XSSC
67,3XSSC
68,3XSSC
69,3XSSC
70,3XSSC
71,YHL041W
72,YHL041W
73,3XSSC
74,3XSSC
75,3XSSC
76,3XSSC
77,3XSSC
78,3XSSC
79,3XSSC
80,3XSSC
81,3XSSC
82,3XSSC
83,3XSSC
84,3XSSC
85,3XSSC
86,3XSSC
87,3XSSC
88,3XSSC
89,3XSSC
90,3XSSC
91,YCR087C-A
92,YCR087C-A
93,3XSSC
94,3XSSC
95,3XSSC
96,3XSSC
97,3XSSC
98,3XSSC
99,3XSSC
100,3XSSC
101,3XSSC
102,3XSSC
103,3XSSC
104,3XSSC
105,3XSSC
106,3XSSC
107,YJR087W
108,YJR087W
109,3XSSC
110,3XSSC
111,3XSSC
112,3XSSC
113,MAP1
114,MAP1
115,RPS30A
116,RPS30A
117,YRF1-1
118,YRF1-1
119,3XSSC
120,3XSSC
121,3XSSC
122,3XSSC
123,3XSSC
124,3XSSC
125,3XSSC
126,3XSSC
127,3XSSC
128,3XSSC
129,3XSSC
130,3XSSC
131,3XSSC
132,3XSSC
133,3XSSC
134,3XSSC
135,3XSSC
136,3XSSC
137,3XSSC
138,3XSSC
139,3XSSC
140,3XSSC
141,3XSSC
142,3XSSC
143,3XSSC
144,3XSSC
145,3XSSC
146,3XSSC
147,3XSSC
148,3XSSC
149,3XSSC
150,3XSSC
151,3XSSC
152,3XSSC
153,3XSSC
154,3XSSC
155,3XSSC
156,3XSSC
157,YKL177W
158,YKL177W
159,3XSSC
160,3XSSC
161,NUP85
162,NUP85
163,3XSSC
164,3XSSC
165,3XSSC
166,3XSSC
167,3XSSC
168,3XSSC
169,YKL102C
170,YKL102C
171,YNL028W
172,YGL230C
173,YGL230C
174,3XSSC
175,3XSSC
176,3XSSC
177,3XSSC
178,3XSSC
179,3XSSC
180,3XSSC
181,3XSSC
182,3XSSC
183,3XSSC
184,3XSSC
185,3XSSC
186,3XSSC
187,3XSSC
188,3XSSC
189,3XSSC
190,3XSSC
191,3XSSC
192,3XSSC
193,3XSSC
194,3XSSC
195,3XSSC
196,3XSSC
197,3XSSC
198,3XSSC
199,3XSSC
200,3XSSC
201,3XSSC
202,3XSSC
203,3XSSC
204,3XSSC
205,3XSSC
206,3XSSC
207,3XSSC
208,3XSSC
209,3XSSC
210,VRP1
211,VRP1
212,3XSSC
213,3XSSC
214,3XSSC
215,3XSSC
216,3XSSC
217,3XSSC
218,3XSSC
219,3XSSC
220,3XSSC
221,3XSSC
222,3XSSC
223,3XSSC
224,3XSSC
225,3XSSC
226,3XSSC
227,3XSSC
228,3XSSC
229,3XSSC
230,3XSSC
231,3XSSC
232,3XSSC
233,3XSSC
234,3XSSC
235,YMR075C-A
236,3XSSC
237,3XSSC
238,3XSSC
239,3XSSC
240,YGR107W
241,YGR107W
242,3XSSC
243,3XSSC
244,3XSSC
245,3XSSC
246,3XSSC
247,3XSSC
248,3XSSC
249,3XSSC
250,3XSSC
251,3XSSC
252,3XSSC
253,3XSSC
254,3XSSC
255,3XSSC
256,3XSSC
257,3XSSC
258,3XSSC
259,3XSSC
260,MOB2
261,MOB2
262,3XSSC
263,3XSSC
264,3XSSC
265,3XSSC
266,3XSSC
267,3XSSC
268,3XSSC
269,3XSSC
