,ID_REF,IDENTIFIER
246,YBR039W,ATP3
247,YBR040W,FIG1
248,YBR041W,FAT1
249,YBR042C,CST26
250,YBR043C,QDR3
251,YBR044C,TCM62
252,YBR045C,GIP1
253,YBR046C,ZTA1
254,YBR047W,FMP23
255,YBR048W,RPS11B
256,YBR049C,REB1
257,YBR050C,REG2
258,YBR052C,RFS1
259,YBR053C,YBR053C
261,YBR055C,PRP6
262,YBR056W,YBR056W
263,YBR057C,MUM2
264,YBR058C,UBP14
265,YBR058C-A,TSC3
266,YBR059C,AKL1
267,YBR060C,ORC2
268,YBR061C,TRM7
269,YBR062C,YBR062C
270,YBR063C,YBR063C
271,YBR065C,ECM2
272,YBR066C,NRG2
273,YBR067C,TIP1
274,YBR068C,BAP2
275,YBR069C,TAT1
276,YBR070C,ALG14
277,YBR071W,YBR071W
278,YBR072W,HSP26
279,YBR073W,RDH54
280,YBR074W,PFF1
281,YBR076W,ECM8
282,YBR077C,SLM4
283,YBR078W,ECM33
284,YBR079C,RPG1
285,YBR080C,SEC18
286,YBR081C,SPT7
287,YBR082C,UBC4
288,YBR083W,TEC1
289,YBR084C-A,RPL19A
290,YBR084W,MIS1
291,YBR085C-A,YBR085C-A
292,YBR085W,AAC3
293,YBR086C,IST2
294,YBR087W,RFC5
295,YBR088C,POL30
296,YBR089C-A,NHP6B
297,YBR090C,YBR090C
298,YBR091C,TIM12
299,YBR092C,PHO3
300,YBR093C,PHO5
301,YBR094W,PBY1
302,YBR095C,RXT2
303,YBR096W,YBR096W
304,YBR097W,VPS15
305,YBR098W,MMS4
306,YBR101C,FES1
307,YBR102C,EXO84
308,YBR103W,SIF2
309,YBR104W,YMC2
310,YBR105C,VID24
311,YBR106W,PHO88
312,YBR107C,IML3
313,YBR108W,AIM3
314,YBR109C,CMD1
315,YBR110W,ALG1
316,YBR111C,YSA1
317,YBR112C,CYC8
318,YBR114W,RAD16
319,YBR115C,LYS2
320,YBR117C,TKL2
321,YBR118W,TEF2
322,YBR119W,MUD1
323,YBR120C,CBP6
324,YBR121C,GRS1
325,YBR122C,MRPL36
326,YBR123C,TFC1
327,YBR125C,PTC4
328,YBR126C,TPS1
329,YBR127C,VMA2
330,YBR128C,ATG14
331,YBR129C,OPY1
332,YBR130C,SHE3
333,YBR131W,CCZ1
334,YBR132C,AGP2
335,YBR133C,HSL7
336,YBR135W,CKS1
337,YBR136W,MEC1
338,YBR137W,YBR137W
339,YBR138C,YBR138C
340,YBR139W,YBR139W
341,YBR140C,IRA1
342,YBR141C,BMT2
343,YBR142W,MAK5
344,YBR143C,SUP45
345,YBR145W,ADH5
346,YBR146W,MRPS9
347,YBR147W,RTC2
348,YBR148W,YSW1
349,YBR149W,ARA1
350,YBR150C,TBS1
351,YBR151W,APD1
352,YBR152W,SPP381
353,YBR153W,RIB7
354,YBR154C,RPB5
355,YBR155W,CNS1
356,YBR156C,SLI15
357,YBR157C,ICS2
358,YBR158W,AMN1
359,YBR159W,IFA38
360,YBR160W,CDC28
361,YBR161W,CSH1
362,YBR162C,TOS1
363,YBR162W-A,YSY6
364,YBR163W,EXO5
365,YBR164C,ARL1
366,YBR165W,UBS1
367,YBR166C,TYR1
368,YBR167C,POP7
369,YBR168W,PEX32
370,YBR169C,SSE2
371,YBR170C,NPL4
372,YBR171W,SEC66
373,YBR172C,SMY2
374,YBR173C,UMP1
375,YBR175W,SWD3
376,YBR176W,ECM31
377,YBR177C,EHT1
378,YBR179C,FZO1
379,YBR180W,DTR1
380,YBR181C,RPS6B
381,YBR182C,SMP1
382,YBR183W,YPC1
383,YBR184W,YBR184W
384,YBR185C,MBA1
385,YBR186W,PCH2
386,YBR187W,GDT1
387,YBR188C,NTC20
388,YBR189W,RPS9B
389,YBR191W,RPL21A
390,YBR192W,RIM2
391,YBR193C,MED8
392,YBR194W,AIM4
393,YBR195C,MSI1
394,YBR196C,PGI1
395,YBR197C,YBR197C
396,YBR198C,TAF5
397,YBR199W,KTR4
398,YBR200W,BEM1
399,YBR201W,DER1
400,YBR202W,MCM7
401,YBR203W,COS111
402,YBR204C,LDH1
403,YBR205W,KTR3
404,YBR207W,FTH1
405,YBR208C,"DUR1,2"
406,YBR210W,ERV15
407,YBR211C,AME1
408,YBR212W,NGR1
409,YBR213W,MET8
410,YBR214W,SDS24
411,YBR215W,HPC2
412,YBR216C,YBP1
413,YBR217W,ATG12
414,YBR218C,PYC2
415,YBR219C,YBR219C
416,YBR220C,YBR220C
417,YBR221C,PDB1
418,YBR222C,PCS60
419,YBR223C,TDP1
420,YBR225W,YBR225W
421,YBR227C,MCX1
422,YBR228W,SLX1
423,YBR229C,ROT2
424,YBR230C,OM14
425,YBR231C,SWC5
426,YBR233W,PBP2
427,YBR233W-A,DAD3
428,YBR234C,ARC40
429,YBR235W,VHC1
430,YBR236C,ABD1
431,YBR237W,PRP5
432,YBR238C,YBR238C
433,YBR239C,ERT1
434,YBR240C,THI2
435,YBR241C,YBR241C
436,YBR242W,YBR242W
437,YBR243C,ALG7
438,YBR244W,GPX2
439,YBR245C,ISW1
440,YBR246W,RRT2
441,YBR247C,ENP1
442,YBR248C,HIS7
443,YBR249C,ARO4
444,YBR250W,SPO23
445,YBR251W,MRPS5
446,YBR252W,DUT1
447,YBR253W,SRB6
448,YBR254C,TRS20
449,YBR255C-A,YBR255C-A
450,YBR255W,MTC4
451,YBR256C,RIB5
452,YBR257W,POP4
453,YBR258C,SHG1
454,YBR259W,YBR259W
455,YBR260C,RGD1
456,YBR261C,TAE1
457,YBR262C,MIC12
458,YBR263W,SHM1
459,YBR264C,YPT10
460,YBR265W,TSC10
461,YBR267W,REI1
462,YBR268W,MRPL37
463,YBR269C,SDH8
464,YBR270C,BIT2
465,YBR271W,EFM2
466,YBR272C,HSM3
467,YBR273C,UBX7
468,YBR274W,CHK1
469,YBR275C,RIF1
470,YBR276C,PPS1
471,YBR278W,DPB3
472,YBR279W,PAF1
473,YBR280C,SAF1
474,YBR281C,DUG2
475,YBR282W,MRPL27
476,YBR283C,SSH1
477,YBR284W,YBR284W
478,YBR285W,YBR285W
479,YBR286W,APE3
480,YBR287W,YBR287W
481,YBR288C,APM3
482,YBR289W,SNF5
483,YBR290W,BSD2
484,YBR291C,CTP1
485,YBR293W,VBA2
486,YBR294W,SUL1
487,YBR295W,PCA1
488,YBR296C,PHO89
