0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,FAKE
-1.26796,-1.33397,-0.911873,-1.82794,-2.03651,-2.06993,-1.76056,-0.800432,-0.727178,-0.045896,-2.19795,-0.920084,-0.0443018,-0.847657,-0.540038,-0.21552,-1.64185,-1.90255,-1.85424,-1.60643,-1.56588,-1.65632,-1.89658,-0.341638,1.62265,1.5229,1.99378,2.91814,0.295906,1.39779,1.21918,4.06481,4.36119,3.94182,3.8435,3.94675,1.42681,3.40376,1.3134,-0.768561,-0.707019,-1.58353,-1.63367,-1.34741,-1.63336,-0.913998,0.0967298,-0.396559,-0.690699,-1.42727,-1.30541,0.170964,-1.50205,-1.03862,-1.95889,0.243391,-1.70617,-0.223152,-1.21194,-0.288093,-0.517753,-0.643217,-1.08329,-0.267447,-0.692145,0.293453,-0.270912,-1.65639,-1.29323,-1.94101,-1.55163,-1.73065,-1.63122,-1.50604,-1.69967,-1.90185,-1.84978,-1.41941,-1.71872,0.0380744,0.189153,-0.14397,-0.0932719,1.39006,0.243852,0.75521,-0.239955,3.94114,1.68763,3.21888,1.06744,1.63662,0.132453,1.08768,0.448164,1.12851,4.04975,1.95255,3.02631,2.7379,2.5378,2.78791,1.41199,0.460052,4.20976,0.47779,4.16951,0.433541,-1.563,-1.55745,-1.56553,-1.21525,1.30321,1.57108,1.54639,1.13125,0.105921,-1.14534,-1.50834,-0.707197,-0.596844,-0.913414,-0.608736,-1.76986,-1.87536,-1.55604,-0.385363,-1.29003,-0.201705,-0.793847,0.216647,0.214873,0.98992,1.0202,0.164351,0.0291872,0.312974,0.878105,2.45274,0.686336,-0.0371492,0.00281248,3.04313,2.72095,1.38581,0.824618,3.52229,0.233834,1.86437,2.65027,0.893857,1.06394,3.41757,3.20597,0.576827,0.260415,-1.11604,-0.0465634,0.00590511,-1.0151,-1.28395,-1.99415,-2.18581,-3.02221,-0.139954,0.076477,0.912823,-0.570569,-0.395196,0.273003,0.0121786,-0.418854,-0.0681792,-0.543643,-0.0515799,1.126,0.49432,-0.900413,0.182255,-0.583467,0.602963,0.96545,1.64913,2.32359,0.715338,3.20453,0.973609,2.37332,3.02933,3.64316,4.15267,1
-0.570718,-1.05954,-0.887063,-1.81989,-2.05571,-2.00838,-1.91007,-0.590517,-0.876562,-0.00533098,-2.40201,-0.782181,0.0505292,-0.542754,-0.423309,-0.0942183,-1.79024,-1.68823,-2.0074,-1.62056,-1.49981,-1.73911,-1.61259,-0.323903,1.68312,1.70163,1.77833,2.86059,0.144822,1.30282,1.15931,3.98904,4.42162,3.88805,3.87069,3.87643,1.65492,3.57568,1.41005,-0.566582,-0.553242,-1.25943,-1.43008,-1.85103,-1.61908,-0.933975,-0.0789571,-0.265312,-0.858886,-1.55545,-0.995613,0.432455,-1.38454,-1.07167,-1.84897,0.199324,-1.15987,-0.426591,-0.962268,-0.350672,-0.538437,-0.817651,-0.619822,-0.403801,-0.560561,0.428932,-0.202725,-1.79766,-1.18251,-2.0551,-1.47949,-1.79771,-1.69688,-1.43694,-1.67278,-1.74516,-2.18026,-1.43606,-1.67134,-0.142027,0.114857,-0.15414,-0.254874,1.42102,-0.1974,0.41352,-0.334833,3.99575,1.85459,3.15353,1.19727,1.57425,0.243223,1.01135,0.660168,1.19255,3.97483,2.02691,2.97428,2.77805,2.60988,2.64466,1.58917,0.795066,4.18182,0.476664,3.89082,0.418297,-1.64124,-1.42258,-1.45105,-1.2203,1.22034,1.71751,1.57128,1.34541,0.093455,-0.767193,-1.28203,-0.660987,-0.495062,-0.759644,-0.635503,-1.39339,-1.98608,-1.56273,-0.0665566,-0.828322,-0.176577,-0.500426,0.217531,0.352872,1.03338,0.662607,0.00416095,-0.11033,0.288688,0.39936,2.38514,1.14507,0.102267,0.0787106,2.92749,2.76111,1.16373,0.773598,3.63633,0.520895,1.79838,2.61097,1.17665,0.822973,3.79631,3.0761,0.88139,0.416674,-1.03408,-0.0231362,0.00325512,-1.05361,-1.39019,-2.28604,-2.08444,-2.62769,-0.0609144,0.1166,-0.00236766,-0.789727,-0.0638307,0.320737,0.131735,-0.510419,-0.257085,-0.422468,0.0192586,0.91921,0.329908,-0.397406,-0.306902,-0.411451,0.863322,1.01469,1.73514,2.3594,0.703116,3.21102,0.895481,2.44862,2.94147,3.58358,4.14332,1
0.0017165,0.242194,0.369862,0.280941,0.131741,0.201938,0.265282,0.168669,0.162316,0.283061,-0.0474395,-0.27243,-0.24852,0.106809,-0.106444,-0.14216,-0.058401,-0.184742,-0.220573,-0.111432,-0.0342747,-0.300513,0.203738,0.718861,0.284498,0.508571,0.0698245,0.544633,0.493198,-0.2617,-0.221176,0.252736,-0.372789,-0.593541,-0.41248,-0.359807,-0.318227,-0.655397,0.0152474,0.402649,0.322084,0.827451,-0.189791,0.276138,0.19535,0.556385,0.00641606,-0.0155863,-0.658654,0.525163,-0.271186,0.623617,0.082708,1.07007,0.341559,0.052914,-0.0408558,0.272308,0.558948,0.034649,-0.891085,0.610861,0.345619,0.246657,0.296224,-0.135975,-0.167225,-0.375522,-0.164221,-0.865272,-0.263463,-0.319476,-0.288625,-0.472789,-0.187467,-0.376283,-0.371097,-0.398421,-0.286462,-0.277735,0.353828,0.357981,0.179795,0.404737,-0.0703737,0.219175,-0.285956,0.757595,-0.39356,0.696766,0.51774,1.08463,0.160082,-0.215766,0.270547,0.274125,0.0387452,0.162127,0.348286,0.352726,0.433812,0.153642,-0.160349,0.328755,0.198951,0.408855,0.438221,-0.0325917,0.0525942,0.0855062,-0.0199267,0.0114926,-0.0463935,0.0172215,-0.0334947,0.0758575,0.305244,0.522554,-0.457483,0.421561,0.350166,0.258423,0.431845,0.434923,0.18668,0.0349242,0.16416,0.00923185,-0.0758256,0.351736,-0.0456484,-0.185086,-0.133758,-0.195808,-0.44254,-0.0984695,-0.190529,-0.629068,-0.039704,-0.495348,0.142734,0.373238,0.546619,-0.209678,0.165324,0.589906,0.476995,0.618312,0.0110415,-0.0837472,0.275494,0.613049,0.0512897,0.00126143,0.589376,0.796771,0.724584,0.330413,0.563292,0.603551,0.411836,1.17076,0.970775,0.793283,0.278259,0.738119,1.39301,0.480311,0.0211757,-0.258629,-0.0473742,-0.0660732,-0.654611,-0.0589505,-0.0587592,0.293802,-0.0724555,-0.231492,0.0472154,0.118354,0.0987306,0.410603,0.539802,0.264107,-0.0215047,0.318885,0.000572891,0.147271,0.86807,0.277405,0.718282,1
0.746942,0.694834,0.53733,0.408863,0.37843,0.665144,0.431079,0.299582,0.0943661,0.355577,0.412676,0.848405,0.00441682,0.228393,0.631673,0.140289,0.44418,0.230495,0.343949,0.0629925,0.241258,-0.156697,0.528126,-0.0271035,0.265102,0.0784779,0.272103,-0.95791,-1.53789,1.86718,1.12997,0.963943,1.41782,1.42392,1.18137,1.30108,1.34611,1.15424,0.451822,-0.202492,0.589544,0.600483,1.0331,-0.651925,0.234997,0.483347,0.794485,0.173211,0.200318,0.315904,0.0381164,-0.451451,0.0342288,-0.774441,0.22579,0.393328,0.341977,1.30403,0.800382,-0.0994582,1.67783,1.09374,-0.0648499,0.355422,0.0950965,0.317116,-0.28632,0.549264,0.888528,0.626705,1.06095,0.497323,1.04872,0.378722,0.706252,0.0618664,0.980885,-0.0354263,0.138347,-0.148429,-0.24511,-0.254461,-0.237013,-0.0303182,-0.0561107,0.173498,0.526715,0.777326,-0.324604,0.617532,-1.25301,-0.109966,0.970883,1.83368,1.57186,2.38058,1.32381,1.33645,0.472191,-0.171432,0.367906,0.0162902,1.53254,0.692373,0.753401,0.682159,0.316155,1.07475,0.422138,0.835683,0.546333,0.996088,1.25997,1.47364,1.29945,1.59811,1.04509,0.604717,0.101633,0.832026,0.84308,0.633886,0.709784,0.380485,-0.500691,-0.490371,0.628064,1.24171,0.164308,0.107611,0.071086,0.0581017,0.942922,0.892867,1.11944,0.755779,0.0497385,0.631622,0.907322,0.194873,-0.0468064,0.239488,-0.0920425,0.0313228,2.35417,2.78017,1.71742,0.973717,0.764067,0.146003,0.952256,1.95946,0.332786,-0.0315079,0.159625,-0.140158,-1.02179,-0.593944,-1.04133,-0.457328,-0.436532,-0.746493,-1.91143,-2.30941,0.621473,0.44368,-0.304671,1.15462,0.696417,0.24287,0.167319,-0.0185932,-0.464218,-0.0250447,0.0125058,0.311534,0.342016,-0.646346,0.146073,0.300326,0.795053,-0.0932977,0.594804,0.48541,0.602709,1.17589,0.789728,1.20265,1.71569,1.71505,2.29213,1
-0.820001,-0.357201,-0.430279,-0.32965,0.0998121,-0.0144568,0.056371,-0.234579,-0.442089,-0.0185031,-0.184603,-0.0533008,-0.240789,-0.179901,-1.49393,0.0320941,-0.171633,-0.273639,-0.363737,-0.782202,-0.377871,-0.114989,-0.0565642,-0.344459,-0.26361,-0.0726189,-0.288889,-0.520585,-0.506428,-0.0348605,-0.140701,-2.15099,-1.67588,-2.06412,-1.51362,-1.10025,-1.00042,-2.64701,-2.76254,-0.583887,-0.250704,-0.705704,-0.507559,-1.89421,-0.709207,-0.537245,-0.742611,-1.10635,-1.09579,-0.147937,-0.249834,-1.03361,-0.547962,-1.5018,-0.796754,-0.123555,-0.312862,0.050719,-0.411879,0.119511,-0.698854,0.0141121,-0.473501,-0.880612,-0.849223,-0.403365,0.168956,-0.159978,-0.161222,-0.306111,-0.373462,-0.690311,-0.702083,-0.878377,-0.548736,-0.830092,-0.442583,-0.0239934,-0.665609,-0.0547567,-0.233397,-0.0153397,0.0166745,-0.0458534,-0.227322,-0.218866,-0.387567,-0.70502,-0.933306,-0.373455,-0.584768,-0.976013,-0.168663,-0.141805,-0.214668,-0.196467,-1.23627,-1.76793,-0.042363,-0.389014,0.226575,-0.774417,-0.707209,0.0156773,-1.12657,-1.11548,-1.01311,-2.15316,-0.551348,-0.626934,-0.448346,-0.531036,-0.440217,-0.466564,-0.337006,-0.00813136,-0.366846,-0.139474,-1.27946,-0.0603694,-0.53643,-0.687263,-0.651892,-0.177047,-0.538787,-0.450855,-0.284187,-0.116218,-0.280013,-0.261735,-0.0345313,-0.119457,-0.461955,-0.550366,-0.535607,-0.489937,-0.46338,-1.06939,-0.340591,-0.248757,-0.150094,-0.36217,-0.210893,-0.55931,0.0740089,0.113931,-1.19981,-1.51018,-0.993912,-0.892987,-1.32745,0.193909,-1.01243,-1.50725,-0.334477,-0.827255,-3.74339,-5.78165,-5.52434,-5.16906,-5.07428,-2.41269,-5.43297,-5.97185,-0.162819,-0.0214262,0.325581,-0.475114,-2.54627,0.0635653,0.0498653,-0.164707,-0.591655,-0.280014,-0.147549,-0.534995,-0.0848644,-0.373069,0.044494,-0.451301,-2.32689,-0.140997,-0.130271,-0.60704,-0.750802,-1.80045,-0.925709,-1.66169,-0.294588,-1.99968,-2.68332,1
-0.0872773,0.00978268,-0.43548,-0.420117,0.1305,-0.0133246,-0.0813833,0.0854401,-0.384793,0.0324319,-0.0877382,-0.00941552,-0.194339,0.207539,-1.50816,0.0222101,-0.184102,-0.244171,-0.402016,-0.82226,-0.407305,-0.185471,-0.135297,-0.238543,-0.168494,0.0986678,-0.187869,-0.556727,-0.538291,-0.00682422,-0.0310105,-2.06147,-1.6934,-2.11578,-1.66268,-1.26062,-1.05628,-2.81067,-2.80753,-0.431524,-0.242789,-0.499299,-0.224444,-1.98889,-0.799941,-0.491769,-0.623996,-0.824426,-1.03693,-0.120442,-0.0408834,-1.02785,-0.644393,-1.2658,-0.836722,-0.153396,0.0393682,-0.065576,0.0077874,0.191539,-0.814338,-0.196099,0.161123,-0.953908,-0.902657,-0.375166,0.20725,-0.343656,0.0158928,-0.337805,-0.452424,-0.667797,-0.607665,-0.712501,-0.714762,-0.735201,-0.363263,0.0724906,-0.933351,-0.144907,-0.034348,-0.0790963,-0.0243291,-0.159823,-0.498645,-0.10911,-0.596458,-0.546638,-0.949141,-0.360625,-0.434177,-1.12146,-0.112148,-0.267964,-0.0784692,0.0826527,-1.23884,-1.59363,-0.190934,-0.272862,0.286895,-0.900887,-0.48571,0.0292214,-1.19126,-1.06352,-0.946103,-2.02095,-0.3761,-0.594803,-0.349296,-0.665425,-0.448108,-0.491636,-0.25003,-0.379303,-0.103503,0.0381102,-1.20442,-0.0304072,-0.546393,-0.505784,-0.30076,0.00561521,-0.54132,-0.435759,-0.00411431,0.0638965,-0.197513,0.0987602,-0.0389431,-0.095271,-0.465306,-0.471881,-0.368704,-0.555955,-0.327407,-1.0151,-0.491661,-0.143302,-0.0691979,-0.626512,-0.173186,-0.562378,0.051372,-0.227939,-0.971417,-1.39994,-0.988932,-0.790615,-1.27329,-0.0286146,-1.19261,-1.45771,-0.0351815,-0.784901,-3.81894,-5.52892,-5.54065,-5.64275,-5.29652,-2.6347,-5.35566,-5.90725,-0.0487608,-0.0995192,-0.0159969,-0.569247,-2.62693,0.178324,0.0410408,-0.233282,-0.482113,0.00891861,0.0173197,-0.471637,-0.0665125,-0.449342,-0.230739,-0.434875,-2.13889,-0.0119197,0.00145413,-0.801088,-0.879277,-1.86597,-0.962935,-1.64103,-0.288605,-1.88844,-2.72553,1
-1.26789,-0.986926,-0.779031,-0.79128,-0.68906,-0.820028,-0.774806,0.100414,-0.271176,-0.545292,0.0992999,-0.563593,-0.127197,-0.0515261,-0.704721,-0.0259489,-0.366335,-0.7683,-0.876173,-0.478666,-0.187891,-0.24086,-0.924488,-0.397412,-0.497456,-0.0244635,-0.813419,-0.315507,-0.222029,-0.791992,-0.956922,-1.60201,-2.75161,-3.04233,-2.81126,-2.64482,-2.83584,-2.93344,-3.28915,-0.192322,-0.265256,-0.191118,-0.982924,-0.0269004,-0.144058,-0.598983,-0.369571,-0.56295,-0.597073,0.45717,1.03773,0.774973,0.536732,0.609207,-0.452901,0.105768,-0.0517546,-0.10334,-0.259565,0.0535389,-0.338515,-1.24361,0.0199248,-0.619449,-0.300915,-1.00794,0.0203396,-0.148378,-0.28399,-0.327008,-0.326916,-0.308379,-0.637108,-0.0214882,-0.436462,0.00402343,-0.343616,-0.0222966,-0.959464,-0.567635,-0.835621,-0.250469,-0.356632,-0.0969242,-0.505695,-1.11553,-0.850539,-0.942877,-0.66089,-0.548298,-0.220864,0.0173221,-0.192178,0.162801,-0.0488298,-1.14498,-0.838859,-2.28297,-1.47647,-1.78516,-1.79376,-2.08819,-0.94666,-1.78988,-1.63512,-1.24143,-2.31355,-1.47026,-0.779121,-0.798287,-0.941309,-0.877004,-1.0829,-1.4325,-1.22362,-0.991498,-0.434823,-0.578762,0.0583707,-0.734277,-0.455562,-0.640795,-0.535862,0.382385,0.545992,0.589778,0.0759962,-0.715931,-0.0960461,-0.380385,-0.14827,-0.0428074,-0.367143,-0.514514,-0.833789,-0.52132,-0.349792,-0.622595,-0.811442,-0.404689,-0.331142,-0.223322,0.327636,-0.058604,-1.36367,-1.18242,-1.82809,-1.38001,-1.49531,-1.36717,-1.58649,-1.83147,-1.79809,-1.87381,0.418991,-0.368985,-1.11571,-0.974006,-1.12385,-1.07644,-1.19115,-0.930771,-1.00956,-1.37227,0.0185197,-0.124646,0.0613076,-1.04379,-0.556624,-0.0198654,-0.0298551,-0.0998095,-0.25401,0.256758,-0.350575,-0.156516,-0.539335,-0.096419,-0.0746607,-0.200838,-0.18612,0.0666851,0.287157,0.514227,-0.091723,-0.623517,-0.157024,-0.452053,-0.0579777,0.108675,-0.47818,1
0.596738,0.398966,0.612876,0.451848,0.650802,0.0336206,0.415515,-0.0273438,0.158619,0.374077,0.268522,0.40165,0.153763,-0.483558,0.500311,-0.485482,0.215492,-0.098991,-0.0522975,0.135955,0.574541,-0.398846,-0.176311,0.158665,-0.0882472,0.135098,-0.402337,-0.27654,-0.700815,-0.0616652,-0.211878,-0.226663,0.0676501,-0.0414599,0.0666642,0.100844,-0.132345,0.00662267,0.0490084,1.16403,-1.3904,0.66804,0.725879,0.778788,-0.0352061,0.158351,1.01289,0.251961,0.339621,0.0869966,0.68883,0.0971889,-0.788506,-0.424496,0.317507,0.0402265,0.19676,0.567518,0.304661,-0.433895,0.48633,0.879113,0.366674,0.212154,0.923462,0.119913,-0.373229,-0.322212,-0.111173,0.195879,-0.270864,-0.14545,0.407558,-0.444766,0.475707,-0.197893,-0.185366,-0.00101628,-0.327644,0.692017,-0.251969,-0.116443,0.430048,0.147504,-0.40519,0.0648735,0.808311,0.309765,0.200399,0.157143,-0.224234,0.388798,-0.200785,-0.0404792,0.0571365,0.169524,0.387486,-0.118408,0.156219,0.249038,0.259596,0.592467,0.311273,0.0268037,0.572386,-0.0408444,0.499738,0.0757152,0.739345,0.358284,0.578578,0.573251,-0.00165523,-0.497819,-0.0354812,-0.07508,1.51282,1.14946,0.771421,0.886456,1.01247,0.747989,0.924388,0.879848,0.532979,0.428033,-0.0237071,0.453611,-0.342535,-0.0991323,-0.251733,0.157752,0.250425,0.281924,0.518435,0.322969,-0.388394,0.289557,0.0858872,0.686487,-0.254519,0.292187,0.427532,0.219405,-0.217506,-0.148031,0.100558,0.150725,0.177432,0.0272291,0.0848459,0.0919375,-0.394693,-0.0930939,0.206273,0.581723,1.00081,1.6173,1.59499,1.32938,1.63959,1.60563,1.32547,1.25083,0.154105,0.478547,0.608386,1.41443,1.06045,-0.0834363,0.150661,0.0465643,-0.261594,-0.534768,-0.030775,0.154221,-0.0419619,0.178849,-0.0798337,-0.355107,-0.295875,-0.112382,-0.163861,-0.110142,0.746599,0.600614,0.803269,0.324144,0.497177,0.156654,0.763477,1
0.569929,0.521325,0.513642,0.328904,0.107393,0.109109,0.167045,0.44905,-0.0453041,0.322496,0.321685,0.380195,0.133075,0.216255,-0.529717,-0.481298,0.075533,-0.0138684,0.0709846,0.79782,0.519373,-0.0226877,-0.0239032,0.807569,0.428899,0.563278,-0.101269,-1.86718,-1.53954,1.41413,0.172252,0.0940572,0.551925,0.387368,0.459556,0.531586,-0.308531,-0.229156,0.175924,0.271381,-0.520798,-0.0832631,0.577503,0.236889,-0.0405982,0.956082,1.19597,0.374317,0.358041,-0.30879,0.191789,0.693467,-0.0542903,-0.0248315,0.119412,0.531498,-0.379993,0.28903,-0.0166507,-0.10961,0.84113,0.489715,-0.0983051,0.0675624,0.566941,0.29039,0.00119405,0.0204355,-0.0513037,-0.0470642,0.0358454,-0.146189,-0.244878,-0.321556,-0.0874972,-0.450632,-0.245056,0.00470366,-0.468279,-0.0462032,-0.123944,0.203646,0.51456,-0.379784,0.530008,-0.554035,0.76981,-1.75932,-0.479611,-3.04012,-1.80419,-2.39491,-0.617279,0.31063,-0.231674,1.19659,0.268122,0.911654,0.555095,0.12656,0.299007,0.355028,-0.265068,0.443639,0.0163643,0.422753,-0.312408,0.401572,0.054392,0.261405,0.0977024,0.243887,0.678044,0.74285,0.834993,0.860463,-1.18001,-0.734695,0.061944,-0.731045,-0.697233,-0.722448,-0.558431,-0.00531095,0.033847,0.111917,0.119557,-1.14211,0.064967,0.418658,0.17699,0.434664,0.751888,0.437821,-0.0253756,-0.22676,-0.788544,0.310722,-0.85145,-0.541455,-0.307447,-1.07137,-2.05465,-0.881193,-0.738744,-0.704844,-1.30459,-0.312582,-0.654996,-0.261644,-0.703472,-1.36437,-0.641441,-0.409671,-0.695152,-1.56115,-0.554384,-1.37449,-1.90984,-2.0929,-1.44288,-1.98064,-0.810118,-0.871005,0.403681,0.411425,0.7987,-0.136523,0.627486,0.293364,0.299882,0.119319,-0.421614,-0.205699,0.342088,-0.336027,-0.214239,0.450471,0.207196,-1.43103,-1.88411,0.315303,0.319505,0.271605,-0.0708051,-0.883536,-0.0344686,-0.844894,0.0365701,0.165253,-0.270496,1
-0.526507,-0.507666,-0.73071,-0.130292,-0.0299343,0.414033,0.259174,-0.734694,-0.712945,-0.546337,-1.32721,-0.906312,-0.670866,-0.86138,0.244209,-0.36117,-1.2433,-1.51734,-1.48514,-1.57723,-0.960777,-0.67096,-0.162532,0.0157036,0.449754,1.12387,0.890073,-1.12019,-0.51331,0.789281,0.505554,0.73267,-0.953559,-1.24501,-1.4544,-1.2145,0.595184,-0.149897,-0.641797,-0.115498,0.53385,-0.738388,0.313522,-1.47436,-0.960125,0.772425,0.449651,0.624051,-0.105939,-1.17768,-1.25991,-0.788454,-1.43884,-0.627177,-0.557992,-1.56284,-0.166393,-0.880635,0.193126,-0.673258,-1.77728,-1.19414,-0.565206,-0.53074,-2.18038,-1.26746,-2.15032,-1.72825,-1.51065,-1.27242,-0.603953,-1.30062,-0.537235,-0.990831,-0.300989,-0.594637,-0.338574,-2.14597,0.26498,-0.963268,-1.58621,-0.798533,-1.42504,-0.406594,-1.10438,0.336432,0.0716999,-0.0504982,-0.875359,-1.66256,-0.800045,-1.81273,0.000144189,1.44749,0.522342,1.47301,0.771078,0.395969,-1.67469,-0.869515,-0.191098,-0.84046,0.99441,-0.226025,0.570188,0.259689,-0.315331,-0.173101,-0.56261,-0.0269446,-0.316874,0.658944,1.36305,1.53076,1.51123,1.83754,0.523765,-0.0754848,-0.869393,0.460439,0.232597,0.360707,0.453523,-0.979097,-0.891588,-1.07909,-0.518753,0.120442,-0.809337,-0.255263,-0.524599,-0.582235,-0.272044,-0.243913,0.249217,0.681996,-0.00560939,0.16418,0.661496,-0.459721,-0.122444,0.895161,-0.370146,-0.379394,1.07721,1.38758,1.80376,0.837074,0.588798,0.614877,0.388249,1.22361,1.15164,0.885104,1.42702,1.15195,1.39857,0.855177,0.94038,0.661939,0.683419,2.25022,1.01845,-0.0293199,-0.0849227,-0.0582279,1.06117,-0.576075,-0.906461,-1.58019,-1.35959,-1.537,-1.51751,-1.39397,-1.48408,-0.539492,-0.946721,-1.03876,-1.42415,-0.317717,-0.516343,-0.84473,-0.301644,0.898754,0.278723,-0.417667,0.755265,-0.300606,0.293836,1.18522,0.940495,1
